PQID,CMT,UNM,CAT
62,11,Winston Chang,I
64,1,Winston Chang,I
65,2,Winston Chang,I
70,16,Winston Chang,I
75,1,Winston Chang,I
77,3,Winston Chang,I
79,1,Winston Chang,I
80,3,Winston Chang,I
88,3,Winston Chang,I
90,3,Winston Chang,I
91,3,Winston Chang,I
92,1,Winston Chang,I
94,9,Winston Chang,I
95,2,Winston Chang,I
97,2,Winston Chang,I
104,1,Winston Chang,I
106,2,Winston Chang,I
107,4,Winston Chang,I
110,2,Winston Chang,I
112,2,Winston Chang,I
116,2,Winston Chang,I
118,1,Winston Chang,I
120,1,Winston Chang,I
124,2,Winston Chang,I
125,3,Winston Chang,I
126,3,Winston Chang,I
129,4,Winston Chang,I
130,3,Winston Chang,I
134,3,Winston Chang,I
135,3,Winston Chang,I
140,1,Winston Chang,I
146,8,Winston Chang,I
147,2,Winston Chang,I
148,3,Winston Chang,I
151,10,Winston Chang,I
152,3,Winston Chang,I
155,10,Winston Chang,I
158,52,Winston Chang,I
162,4,Winston Chang,I
163,4,Winston Chang,I
171,3,Winston Chang,I
210,2,Philip Kaufmann,I
211,2,Philip Kaufmann,I
212,2,Philip Kaufmann,I
215,4,Luke-Jr,I
221,19,Pieter Wuille,I
228,2,Pieter Wuille,I
229,2,Philip Kaufmann,I
232,4,Luke-Jr,I
234,4,Eric Lombrozo,I
239,1,Gavin Andresen,I
240,1,Pieter Wuille,I
242,6,Eric Lombrozo,I
243,3,Pieter Wuille,I
244,2,Pieter Wuille,I
245,1,Luke-Jr,I
248,1,Luke-Jr,I
249,2,Pieter Wuille,I
250,1,Pieter Wuille,I
251,1,Pieter Wuille,I
263,2,Eric Lombrozo,I
268,2,Luke-Jr,I
271,41,Eric Lombrozo,I
275,1,Luke-Jr,I
279,4,Luke-Jr,I
283,1,Philip Kaufmann,I
288,1,Philip Kaufmann,I
289,1,Philip Kaufmann,I
297,1,Philip Kaufmann,I
298,1,Gavin Andresen,I
300,1,Philip Kaufmann,I
301,1,Philip Kaufmann,I
303,1,Pieter Wuille,I
304,1,Philip Kaufmann,I
305,1,Philip Kaufmann,I
307,1,Philip Kaufmann,I
309,1,Philip Kaufmann,I
313,3,Luke-Jr,I
314,2,Pieter Wuille,I
317,1,Gavin Andresen,I
320,2,Pieter Wuille,I
326,44,Luke-Jr,I
328,1,Gavin Andresen,I
330,1,Gavin Andresen,I
331,1,Gavin Andresen,I
334,1,Philip Kaufmann,I
335,1,Gavin Andresen,I
336,1,Philip Kaufmann,I
337,1,Gavin Andresen,I
338,2,Pieter Wuille,I
341,1,Eric Lombrozo,I
342,1,Philip Kaufmann,I
343,2,Gavin Andresen,I
346,1,Gavin Andresen,I
347,1,Philip Kaufmann,I
350,1,Philip Kaufmann,I
351,1,Philip Kaufmann,I
352,1,Philip Kaufmann,I
355,1,Philip Kaufmann,I
357,1,Philip Kaufmann,I
358,1,Philip Kaufmann,I
360,1,Luke-Jr,I
367,1,Luke-Jr,I
372,4,Pieter Wuille,I
373,3,Winston Chang,I
376,1,Eric Lombrozo,I
378,1,Philip Kaufmann,I
380,1,Philip Kaufmann,I
382,1,Pieter Wuille,I
387,84,Gavin Andresen,I
403,5,Ramnath Vaidyanathan,I
421,1,Eric Lombrozo,I
425,1,Pieter Wuille,I
428,1,Pieter Wuille,I
451,3,Ramnath Vaidyanathan,I
457,10,Ramnath Vaidyanathan,I
460,10,Eric Lombrozo,I
462,1,Ramnath Vaidyanathan,I
465,34,Ramnath Vaidyanathan,I
470,1,Luke-Jr,I
473,1,Philip Kaufmann,I
474,12,Ramnath Vaidyanathan,I
475,56,Ramnath Vaidyanathan,I
480,1,Philip Kaufmann,I
481,1,Philip Kaufmann,I
483,4,Winston Chang,I
485,13,Winston Chang,I
490,1,Pieter Wuille,I
493,1,Pieter Wuille,I
496,89,Jamie Mason,I
503,1,Gavin Andresen,I
505,1,Philip Kaufmann,I
507,1,Pieter Wuille,I
513,4,Winston Chang,I
517,1,Pieter Wuille,I
523,1,execjosh,I
529,111,Luke-Jr,I
539,1,Ivan De Marino,I
541,4,execjosh,I
547,1,Ivan De Marino,I
562,1,Ivan De Marino,I
567,3,execjosh,I
570,2,execjosh,I
572,2,execjosh,I
577,2,execjosh,I
581,3,Ivan De Marino,I
595,1,Gavin Andresen,I
598,1,Ivan De Marino,I
601,1,Philip Kaufmann,I
603,1,Philip Kaufmann,I
608,1,Pieter Wuille,I
610,1,Pieter Wuille,I
616,1,Gavin Andresen,I
618,1,Gavin Andresen,I
623,1,Philip Kaufmann,I
629,1,Gavin Andresen,I
636,1,Philip Kaufmann,I
640,1,execjosh,I
642,1,execjosh,I
647,2,Ivan De Marino,I
648,1,Philip Kaufmann,I
650,1,Ivan De Marino,I
652,1,Ivan De Marino,I
654,1,Ivan De Marino,I
655,3,execjosh,I
659,1,Ivan De Marino,I
661,1,Gavin Andresen,I
662,1,Pieter Wuille,I
664,1,Gavin Andresen,I
666,1,Gavin Andresen,I
670,1,Pieter Wuille,I
672,1,Pieter Wuille,I
675,3,Pieter Wuille,I
678,1,Pieter Wuille,I
682,1,Pieter Wuille,I
684,3,Pieter Wuille,I
687,3,Pieter Wuille,I
701,1,Pieter Wuille,I
703,3,Ivan De Marino,I
708,1,Ivan De Marino,I
713,1,Pieter Wuille,I
714,11,Ivan De Marino,I
716,11,Winston Chang,I
719,1,Pieter Wuille,I
722,1,Philip Kaufmann,I
