UID,UNM,CMT
75250,Viktor Klang (√),3247
205525,Patrik Nordwall,1571
205343,Roland Kuhn,1404
207881,Jonas Bonér,772
126754,Jonas Bonér,692
205526,Björn Antonsson,456
199873,Peter Vlugter,382
1106,Winston Chang,280
1198,Philip Kaufmann,237
2513,Ivan De Marino,230
1207,Pieter Wuille,226
205317,Piotr Gabryanczyk,225
207964,Patrik Nordwall,192
205529,Martin Krasser,184
7989,Sunny King,159
44561,Derek Williams,153
91,Ramnath Vaidyanathan,121
205583,Endre Sándor Varga,116
1196,Gavin Andresen,113
207463,Irmo Manie,111
27308,Scott Clasen @scottclasen,105
9185,Keegan McAllister,99
205527,Endre Sándor Varga,97
1188,Luke-Jr,91
207977,Peter Veentjer,90
8380,Jamie Mason,89
207993,Debasish Ghosh,84
114376,drewhk,82
2574,Eric Lombrozo,82
2557,execjosh,79
