PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
64,1106,2013,2,18,1,M,Winston Chang
65,1106,2013,2,18,2,M,Winston Chang
70,1106,2013,1,31,1,M,Winston Chang
70,1106,2013,2,11,15,M,Winston Chang
79,1106,2013,1,25,1,M,Winston Chang
90,1106,2013,1,22,3,M,Winston Chang
91,1106,2013,4,5,3,M,Winston Chang
92,1106,2013,1,22,1,M,Winston Chang
94,1106,2013,1,16,9,M,Winston Chang
97,1106,2013,4,1,2,M,Winston Chang
107,1106,2013,1,4,4,M,Winston Chang
110,1106,2012,12,19,2,M,Winston Chang
116,1106,2012,12,5,2,M,Winston Chang
118,1106,2012,12,3,1,M,Winston Chang
120,1106,2012,12,3,1,M,Winston Chang
124,1106,2012,10,30,2,M,Winston Chang
125,1106,2012,12,17,1,M,Winston Chang
125,1106,2013,1,16,2,M,Winston Chang
126,1106,2012,12,15,3,M,Winston Chang
129,1106,2012,12,15,4,M,Winston Chang
130,1106,2012,12,15,3,M,Winston Chang
134,1106,2012,12,11,3,M,Winston Chang
135,1106,2012,12,11,3,M,Winston Chang
147,1106,2012,8,29,2,M,Winston Chang
148,1106,2012,8,24,3,M,Winston Chang
151,1106,2012,8,16,10,M,Winston Chang
152,1106,2012,8,13,3,M,Winston Chang
155,1106,2012,8,11,10,M,Winston Chang
158,1106,2012,8,10,52,M,Winston Chang
162,1106,2012,7,26,3,M,Winston Chang
162,1106,2012,8,15,1,M,Winston Chang
163,1106,2012,7,23,2,M,Winston Chang
163,1106,2012,8,9,2,M,Winston Chang
171,1106,2012,5,21,3,M,Winston Chang
210,1198,2013,9,14,2,M,Philip Kaufmann
211,1198,2013,9,13,2,M,Philip Kaufmann
212,1198,2013,9,13,2,M,Philip Kaufmann
221,1207,2013,7,27,14,M,Pieter Wuille
221,1207,2013,9,14,5,M,Pieter Wuille
229,1198,2013,8,24,2,M,Philip Kaufmann
232,1188,2013,8,20,4,M,Luke-Jr
239,1196,2013,8,6,1,M,Gavin Andresen
240,1207,2013,7,25,1,M,Pieter Wuille
242,2574,2013,7,21,6,M,Eric Lombrozo
243,1207,2013,7,24,3,M,Pieter Wuille
244,1207,2013,7,20,2,M,Pieter Wuille
248,1188,2013,7,1,1,M,Luke-Jr
249,1207,2013,1,11,2,M,Pieter Wuille
250,1207,2013,6,24,1,M,Pieter Wuille
251,1207,2013,6,22,1,M,Pieter Wuille
263,2574,2013,6,30,1,M,Eric Lombrozo
263,2574,2013,7,9,1,M,Eric Lombrozo
268,1188,2013,1,30,2,M,Luke-Jr
271,2574,2012,12,21,19,M,Eric Lombrozo
271,2574,2013,1,19,22,M,Eric Lombrozo
275,1188,2012,8,1,1,M,Luke-Jr
279,1188,2013,9,10,4,M,Luke-Jr
283,1198,2013,9,4,1,M,Philip Kaufmann
288,1198,2013,8,31,1,M,Philip Kaufmann
289,1198,2013,8,30,1,M,Philip Kaufmann
297,1198,2013,8,28,1,M,Philip Kaufmann
298,1196,2013,8,27,1,M,Gavin Andresen
300,1198,2013,8,25,1,M,Philip Kaufmann
301,1198,2013,8,25,1,M,Philip Kaufmann
303,1207,2013,8,24,1,M,Pieter Wuille
304,1198,2013,8,24,1,M,Philip Kaufmann
305,1198,2013,8,24,1,M,Philip Kaufmann
307,1198,2013,8,23,1,M,Philip Kaufmann
309,1198,2013,8,21,1,M,Philip Kaufmann
313,1188,2013,8,20,3,M,Luke-Jr
314,1207,2013,8,20,2,M,Pieter Wuille
317,1196,2013,8,19,1,M,Gavin Andresen
320,1207,2013,8,17,2,M,Pieter Wuille
326,1188,2013,4,19,1,M,Luke-Jr
326,1188,2013,7,15,2,M,Luke-Jr
326,1196,2013,6,26,2,M,Gavin Andresen
326,1196,2013,7,30,1,M,Gavin Andresen
326,1196,2013,8,1,2,M,Gavin Andresen
326,1198,2013,6,23,2,M,Philip Kaufmann
326,1198,2013,7,13,9,M,Philip Kaufmann
326,1198,2013,8,5,2,M,Philip Kaufmann
326,1207,2013,4,29,3,M,Pieter Wuille
326,1207,2013,6,19,5,M,Pieter Wuille
326,1207,2013,7,13,2,M,Pieter Wuille
326,2574,2013,1,23,2,M,Eric Lombrozo
326,2574,2013,6,23,11,M,Eric Lombrozo
328,1196,2013,8,11,1,M,Gavin Andresen
330,1196,2013,8,8,1,M,Gavin Andresen
331,1196,2013,8,7,1,M,Gavin Andresen
334,1198,2013,8,5,1,M,Philip Kaufmann
336,1198,2013,8,5,1,M,Philip Kaufmann
337,1196,2013,8,4,1,M,Gavin Andresen
338,1207,2013,8,3,2,M,Pieter Wuille
341,2574,2013,8,2,1,M,Eric Lombrozo
342,1198,2013,8,2,1,M,Philip Kaufmann
343,1196,2013,8,1,2,M,Gavin Andresen
346,1196,2013,7,30,1,M,Gavin Andresen
347,1198,2013,7,29,1,M,Philip Kaufmann
352,1198,2013,7,23,1,M,Philip Kaufmann
355,1198,2013,7,23,1,M,Philip Kaufmann
357,1198,2013,7,22,1,M,Philip Kaufmann
358,1198,2013,7,22,1,M,Philip Kaufmann
360,1188,2013,7,21,1,M,Luke-Jr
372,1207,2013,6,22,2,M,Pieter Wuille
372,1207,2013,7,14,2,M,Pieter Wuille
373,1106,2013,1,6,3,M,Winston Chang
382,1207,2013,7,13,1,M,Pieter Wuille
421,2574,2013,7,7,1,M,Eric Lombrozo
425,1207,2013,6,22,1,M,Pieter Wuille
451,91,2012,6,27,3,M,Ramnath Vaidyanathan
460,2574,2013,6,23,10,M,Eric Lombrozo
462,91,2012,4,12,1,M,Ramnath Vaidyanathan
465,91,2012,3,25,22,M,Ramnath Vaidyanathan
465,91,2012,4,11,12,M,Ramnath Vaidyanathan
470,1188,2013,6,6,1,M,Luke-Jr
473,1198,2013,6,5,1,M,Philip Kaufmann
474,91,2011,12,16,12,M,Ramnath Vaidyanathan
475,91,2011,12,15,56,M,Ramnath Vaidyanathan
480,1198,2013,6,3,1,M,Philip Kaufmann
481,1198,2013,6,3,1,M,Philip Kaufmann
483,1106,2012,12,14,4,M,Winston Chang
490,1207,2013,5,29,1,M,Pieter Wuille
493,1207,2013,6,29,1,M,Pieter Wuille
496,8380,2013,8,9,75,M,Jamie Mason
496,8380,2013,9,11,14,M,Jamie Mason
503,1196,2013,5,23,1,M,Gavin Andresen
505,1198,2013,5,22,1,M,Philip Kaufmann
