PQID,CMT,UNM,CAT
64,1,Winston Chang,M
65,2,Winston Chang,M
70,16,Winston Chang,M
79,1,Winston Chang,M
90,3,Winston Chang,M
91,3,Winston Chang,M
92,1,Winston Chang,M
94,9,Winston Chang,M
97,2,Winston Chang,M
107,4,Winston Chang,M
110,2,Winston Chang,M
116,2,Winston Chang,M
118,1,Winston Chang,M
120,1,Winston Chang,M
124,2,Winston Chang,M
125,3,Winston Chang,M
126,3,Winston Chang,M
129,4,Winston Chang,M
130,3,Winston Chang,M
134,3,Winston Chang,M
135,3,Winston Chang,M
147,2,Winston Chang,M
148,3,Winston Chang,M
151,10,Winston Chang,M
152,3,Winston Chang,M
155,10,Winston Chang,M
158,52,Winston Chang,M
162,4,Winston Chang,M
163,4,Winston Chang,M
171,3,Winston Chang,M
210,2,Philip Kaufmann,M
211,2,Philip Kaufmann,M
212,2,Philip Kaufmann,M
221,19,Pieter Wuille,M
229,2,Philip Kaufmann,M
232,4,Luke-Jr,M
239,1,Gavin Andresen,M
240,1,Pieter Wuille,M
242,6,Eric Lombrozo,M
243,3,Pieter Wuille,M
244,2,Pieter Wuille,M
248,1,Luke-Jr,M
249,2,Pieter Wuille,M
250,1,Pieter Wuille,M
251,1,Pieter Wuille,M
263,2,Eric Lombrozo,M
268,2,Luke-Jr,M
271,41,Eric Lombrozo,M
275,1,Luke-Jr,M
279,4,Luke-Jr,M
283,1,Philip Kaufmann,M
288,1,Philip Kaufmann,M
289,1,Philip Kaufmann,M
297,1,Philip Kaufmann,M
298,1,Gavin Andresen,M
300,1,Philip Kaufmann,M
301,1,Philip Kaufmann,M
303,1,Pieter Wuille,M
304,1,Philip Kaufmann,M
305,1,Philip Kaufmann,M
307,1,Philip Kaufmann,M
309,1,Philip Kaufmann,M
313,3,Luke-Jr,M
314,2,Pieter Wuille,M
317,1,Gavin Andresen,M
320,2,Pieter Wuille,M
326,44,Luke-Jr,M
328,1,Gavin Andresen,M
330,1,Gavin Andresen,M
331,1,Gavin Andresen,M
334,1,Philip Kaufmann,M
336,1,Philip Kaufmann,M
337,1,Gavin Andresen,M
338,2,Pieter Wuille,M
341,1,Eric Lombrozo,M
342,1,Philip Kaufmann,M
343,2,Gavin Andresen,M
346,1,Gavin Andresen,M
347,1,Philip Kaufmann,M
352,1,Philip Kaufmann,M
355,1,Philip Kaufmann,M
357,1,Philip Kaufmann,M
358,1,Philip Kaufmann,M
360,1,Luke-Jr,M
372,4,Pieter Wuille,M
373,3,Winston Chang,M
382,1,Pieter Wuille,M
421,1,Eric Lombrozo,M
425,1,Pieter Wuille,M
451,3,Ramnath Vaidyanathan,M
460,10,Eric Lombrozo,M
462,1,Ramnath Vaidyanathan,M
465,34,Ramnath Vaidyanathan,M
470,1,Luke-Jr,M
473,1,Philip Kaufmann,M
474,12,Ramnath Vaidyanathan,M
475,56,Ramnath Vaidyanathan,M
480,1,Philip Kaufmann,M
481,1,Philip Kaufmann,M
483,4,Winston Chang,M
490,1,Pieter Wuille,M
493,1,Pieter Wuille,M
496,89,Jamie Mason,M
503,1,Gavin Andresen,M
505,1,Philip Kaufmann,M
507,1,Pieter Wuille,M
513,4,Winston Chang,M
523,1,execjosh,M
539,1,Ivan De Marino,M
541,4,execjosh,M
547,1,Ivan De Marino,M
562,1,Ivan De Marino,M
567,3,execjosh,M
570,2,execjosh,M
572,2,execjosh,M
577,2,execjosh,M
581,3,Ivan De Marino,M
595,1,Gavin Andresen,M
601,1,Philip Kaufmann,M
603,1,Philip Kaufmann,M
608,1,Pieter Wuille,M
610,1,Pieter Wuille,M
616,1,Gavin Andresen,M
618,1,Gavin Andresen,M
623,1,Philip Kaufmann,M
629,1,Gavin Andresen,M
636,1,Philip Kaufmann,M
640,1,execjosh,M
642,1,execjosh,M
647,2,Ivan De Marino,M
648,1,Philip Kaufmann,M
650,1,Ivan De Marino,M
654,1,Ivan De Marino,M
655,3,execjosh,M
659,1,Ivan De Marino,M
661,1,Gavin Andresen,M
662,1,Pieter Wuille,M
664,1,Gavin Andresen,M
666,1,Gavin Andresen,M
675,3,Pieter Wuille,M
678,1,Pieter Wuille,M
682,1,Pieter Wuille,M
687,3,Pieter Wuille,M
701,1,Pieter Wuille,M
703,3,Ivan De Marino,M
708,1,Ivan De Marino,M
713,1,Pieter Wuille,M
714,11,Ivan De Marino,M
716,11,Winston Chang,M
719,1,Pieter Wuille,M
722,1,Philip Kaufmann,M
724,1,Philip Kaufmann,M
725,1,Ivan De Marino,M
728,3,Philip Kaufmann,M
730,1,Pieter Wuille,M
739,1,Ivan De Marino,M
742,1,Luke-Jr,M
744,1,Pieter Wuille,M
749,1,Philip Kaufmann,M
751,1,Ivan De Marino,M
754,3,Ivan De Marino,M
765,1,Ivan De Marino,M
768,8,Ivan De Marino,M
