UID,UNM,CMT
75250,Viktor Klang (√),3247
205525,Patrik Nordwall,1571
205343,Roland Kuhn,1404
207881,Jonas Bonér,772
126754,Jonas Bonér,692
205526,Björn Antonsson,456
199873,Peter Vlugter,382
1106,Winston Chang,230
205317,Piotr Gabryanczyk,225
2513,Ivan De Marino,221
1207,Pieter Wuille,208
1198,Philip Kaufmann,204
207964,Patrik Nordwall,192
205529,Martin Krasser,184
44561,Derek Williams,153
205583,Endre Sándor Varga,116
207463,Irmo Manie,111
91,Ramnath Vaidyanathan,106
27308,Scott Clasen @scottclasen,105
205527,Endre Sándor Varga,97
9185,Keegan McAllister,95
207977,Peter Veentjer,90
8380,Jamie Mason,89
1196,Gavin Andresen,86
207993,Debasish Ghosh,84
114376,drewhk,82
2574,Eric Lombrozo,77
2557,execjosh,75
1188,Luke-Jr,75
505913,jboner,73
