source,target,count,type
406,20,1,O
406,43,1,O
414,1,19,O
414,2,2,O
414,3,1,O
414,4,18,O
414,5,3,O
414,6,13,O
414,7,16,O
414,8,2,O
414,11,1,O
414,15,1,O
414,16,1,O
414,17,1,O
414,19,1,O
414,20,1,O
414,21,1,O
414,25,69,O
414,26,10,O
414,27,1,O
414,28,1,O
414,29,10,O
414,31,8,O
414,32,2,O
414,33,10,O
414,34,5,O
414,35,7,O
414,37,2,O
414,38,17,O
414,39,48,O
414,40,8,O
414,41,7,O
414,43,91,O
414,44,6,O
414,47,1,O
414,48,3,O
414,49,1,O
414,52,2,O
414,54,9,O
414,56,1,O
414,57,1,O
414,58,1,O
414,60,5,O
414,61,10,O
414,62,2,O
414,64,8,O
414,66,4,O
414,69,3,O
414,72,2,O
414,73,9,O
414,76,4,O
414,77,1,O
414,79,2,O
414,81,1,O
414,82,1,O
414,83,2,O
414,85,9,O
414,90,2,O
414,91,1,O
414,99,4,O
414,103,1,O
414,106,1,O
414,109,2,O
414,111,1,O
414,113,1,O
414,114,14,O
414,115,1,O
414,116,45,O
414,117,1,O
414,118,1,O
414,119,14,O
414,120,3,O
414,121,2,O
414,122,1,O
414,127,10,O
414,128,1,O
414,129,2,O
414,130,1,O
414,131,2,O
414,132,10,O
414,133,1,O
414,134,2,O
414,135,1,O
414,136,1,O
414,137,3,O
414,138,13,O
414,139,2,O
414,140,1,O
414,141,1,O
414,146,1,O
414,149,20,O
414,151,4,O
414,152,8,O
414,153,2,O
414,155,4,O
414,156,2,O
414,158,1,O
414,159,1,O
414,160,2,O
414,161,1,O
414,162,2,O
414,163,3,O
414,164,1,O
414,165,1,O
414,166,2,O
414,168,7,O
414,173,1,O
414,178,22,O
414,181,2,O
414,184,10,O
414,186,1,O
414,187,3,O
414,188,1,O
414,192,2,O
414,193,2,O
414,199,1,O
414,202,1,O
414,222,1,O
414,223,1,O
414,224,1,O
414,229,1,O
414,237,1,O
414,238,1,O
414,239,1,O
414,241,2,O
414,242,2,O
414,244,7,O
414,247,2,O
414,250,1,O
414,251,3,O
414,252,2,O
414,255,3,O
414,256,1,O
414,259,1,O
414,261,1,O
414,262,5,O
414,264,1,O
414,267,4,O
414,269,1,O
414,270,4,O
414,271,2,O
414,273,2,O
414,274,4,O
414,276,13,O
414,277,4,O
414,278,1,O
414,279,11,O
414,280,1,O
414,281,1,O
414,282,3,O
414,284,5,O
414,287,1,O
414,288,5,O
414,291,1,O
414,295,2,O
414,296,2,O
414,299,1,O
414,303,89,O
414,305,4,O
414,306,4,O
414,310,1,O
414,312,1,O
414,313,1,O
414,324,3,O
414,327,4,O
414,329,7,O
414,343,1,O
414,348,2,O
414,350,1,O
414,356,1,O
414,357,1,O
414,360,1,O
414,361,1,O
