source,target,count,type
462,55,2,O
464,2,2,O
464,39,1,O
464,47,1,O
464,50,27,O
464,51,15,O
464,54,10,O
464,55,16,O
464,56,7,O
464,57,3,O
464,59,11,O
464,75,2,O
464,77,2,O
464,122,3,O
464,126,1,O
464,142,10,O
464,153,5,O
464,158,1,O
464,166,1,O
464,174,3,O
464,176,6,O
464,178,3,O
464,193,1,O
464,242,1,O
464,289,1,O
464,309,1,O
464,312,1,O
464,317,7,O
464,318,1,O
464,322,1,O
464,324,3,O
464,331,3,O
464,361,1,O
464,388,1,O
464,390,1,O
464,408,2,O
464,440,2,O
464,452,1,O
464,456,1,O
464,457,1,O
464,629,1,M
464,640,1,M
464,655,1,M
464,660,1,M
464,743,1,M
464,762,1,M
464,764,1,M
464,765,1,M
464,766,1,M
464,777,1,M
464,930,1,M
469,1,12,O
469,39,8,O
469,49,1,O
469,50,4,O
469,51,1,O
469,54,4,O
469,55,18,O
469,59,12,O
469,77,2,O
469,120,2,O
469,134,3,O
469,138,1,O
469,140,15,O
469,142,4,O
469,149,1,O
469,154,1,O
469,178,1,O
469,195,10,O
469,206,2,O
469,225,1,O
469,242,2,O
469,248,1,O
469,259,1,O
469,317,4,O
469,382,1,O
469,390,1,O
469,399,2,O
469,423,1,O
469,437,3,O
469,438,2,O
469,449,1,O
469,452,3,O
469,599,1,M
469,603,1,M
469,639,2,M
469,650,2,M
469,675,1,M
469,787,1,M
469,795,1,M
469,800,3,M
469,803,1,M
469,904,1,M
484,1,13,O
484,153,2,O
484,195,4,O
484,240,1,O
484,252,1,O
509,4,1,O
509,5,2,O
509,39,2,O
509,51,1,O
509,55,3,O
509,59,1,O
509,60,3,O
509,117,1,O
509,176,4,O
509,178,2,O
509,183,3,O
509,191,3,O
509,234,1,O
509,383,3,O
509,657,1,M
513,1,1,O
513,2,1,O
513,3,11,O
513,13,10,O
513,20,10,O
513,22,3,O
513,25,1,O
513,27,1,O
513,32,1,O
513,36,5,O
513,39,39,O
513,41,21,O
513,42,1,O
513,43,1,O
513,48,1,O
513,49,2,O
513,50,4,O
513,52,4,O
513,54,4,O
513,55,12,O
513,57,6,O
513,59,6,O
513,66,1,O
513,68,2,O
513,80,2,O
513,83,4,O
513,86,2,O
513,91,2,O
513,100,1,O
513,102,2,O
513,106,1,O
513,107,1,O
513,110,2,O
513,116,2,O
513,117,1,O
513,119,1,O
513,120,2,O
513,125,4,O
513,132,1,O
513,145,7,O
513,147,2,O
513,151,1,O
513,152,1,O
513,153,4,O
513,158,1,O
513,172,1,O
513,176,1,O
513,190,1,O
513,200,12,O
513,285,2,O
513,317,1,O
513,321,1,O
513,349,89,O
513,356,5,O
513,357,3,O
513,382,1,O
513,390,13,O
513,436,1,O
514,51,3,O
514,54,2,O
514,55,2,O
514,59,3,O
514,60,2,O
514,135,5,O
514,161,1,O
514,176,1,O
514,247,1,O
514,248,2,O
514,277,1,O
514,401,1,O
514,419,1,O
514,428,1,O
514,430,1,O
514,593,1,M
514,727,1,M
514,756,1,M
514,781,1,M
514,885,2,M
533,49,2,O
533,50,2,O
533,51,1,O
533,54,1,O
533,55,2,O
533,56,2,O
533,136,1,O
533,142,2,O
533,153,19,O
533,176,5,O
533,178,1,O
533,193,1,O
533,207,1,O
533,208,2,O
533,209,1,O
533,219,1,O
533,317,1,O
533,390,2,O
533,432,1,O
533,433,1,O
533,481,18,M
533,540,1,M
533,548,1,M
533,630,1,M
533,639,1,M
533,679,1,M
533,788,2,M
533,791,1,M
533,799,1,M
533,820,1,M
533,916,1,M
534,184,1,O
555,51,1,O
555,55,1,O
555,59,1,O
555,136,1,O
555,142,28,O
555,153,9,O
555,158,1,O
555,231,1,O
555,233,1,O
555,240,1,O
555,250,5,O
555,251,1,O
555,316,2,O
555,317,1,O
555,326,1,O
555,379,1,O
555,380,8,O
555,382,4,O
555,383,5,O
555,385,2,O
555,388,1,O
555,390,4,O
555,395,1,O
555,444,1,O
555,546,1,M
555,639,1,M
555,826,1,M
557,142,1,O
562,604,2,M
568,390,1,O
575,142,1,O
580,1,19,O
580,17,16,O
580,18,2,O
580,19,1,O
580,28,1,O
580,39,43,O
580,41,17,O
580,44,9,O
580,45,2,O
580,47,1,O
580,50,4,O
580,51,3,O
580,54,4,O
580,55,4,O
580,56,9,O
580,58,4,O
580,59,6,O
580,60,1,O
580,84,1,O
580,87,4,O
580,96,1,O
580,105,2,O
580,114,4,O
580,115,1,O
580,117,7,O
580,123,1,O
580,142,30,O
580,153,3,O
580,156,1,O
580,157,2,O
580,163,1,O
580,164,1,O
580,165,1,O
580,176,2,O
580,178,1,O
580,190,2,O
580,238,2,O
580,242,5,O
580,252,1,O
580,256,2,O
580,260,1,O
580,268,2,O
580,275,2,O
580,313,1,M
580,338,2,O
580,353,4,O
580,360,1,O
580,382,9,O
580,388,5,O
580,390,2,O
580,405,1,O
580,429,1,O
580,455,1,O
580,456,1,O
580,469,2,M
580,491,1,M
580,528,3,M
580,540,5,M
580,600,1,M
580,622,1,M
580,646,2,M
580,650,3,M
580,661,1,M
580,667,1,M
580,738,1,M
580,742,1,M
580,746,3,M
580,849,3,M
580,894,3,M
580,919,1,M
581,39,3,O
581,51,1,O
581,59,3,O
581,142,1,O
581,176,5,O
581,241,1,O
583,92,4,O
593,145,2,O
593,176,1,O
598,39,1,O
598,47,1,O
598,54,1,O
598,55,3,O
598,59,1,O
598,77,2,O
598,145,4,O
598,154,4,O
598,167,2,O
598,168,1,O
598,170,1,O
598,176,2,O
598,177,1,O
598,178,1,O
598,179,1,O
598,205,1,O
598,239,1,O
598,243,16,O
598,304,1,O
598,306,4,O
598,311,2,O
598,314,1,O
598,315,3,O
598,317,2,O
598,318,2,O
598,372,1,O
598,398,2,O
598,399,1,O
598,458,1,M
598,465,1,M
598,518,1,M
598,584,1,M
598,605,1,M
598,610,1,M
598,717,1,M
598,773,1,M
598,863,1,M
598,886,1,M
601,77,1,O
602,39,17,O
602,50,3,O
602,51,4,O
602,54,2,O
602,55,1,O
602,56,1,O
602,103,1,O
602,122,1,O
602,123,1,O
602,124,1,O
602,140,14,O
602,146,1,O
602,232,1,O
602,242,1,O
602,290,1,O
602,317,1,O
602,330,1,O
602,382,1,O
602,383,1,O
602,384,1,O
602,390,1,O
602,441,1,O
602,464,4,M
602,469,5,M
602,555,3,M
602,580,6,M
602,638,1,M
602,655,1,M
602,727,3,M
602,863,1,M
609,390,2,O
623,55,1,O
630,142,3,O
630,235,2,O
635,7,2,O
635,8,6,O
635,11,1,O
635,12,3,O
635,14,1,O
635,15,2,O
635,38,4,O
635,39,17,O
635,40,2,O
635,41,8,O
635,46,1,O
635,48,1,O
635,51,1,O
635,71,5,O
635,95,1,O
635,99,1,O
635,122,1,O
635,178,1,O
635,188,6,O
635,318,4,O
635,345,1,O
637,1,4,O
637,3,14,O
637,5,3,O
637,6,3,O
637,18,2,O
637,21,1,O
637,32,3,O
637,34,1,O
637,37,1,O
637,38,2,O
637,39,86,O
637,41,3,O
637,44,2,O
637,45,4,O
637,47,2,O
637,49,6,O
637,50,3,O
637,51,10,O
637,52,1,O
637,53,2,O
637,54,23,O
637,55,26,O
637,56,5,O
637,57,4,O
637,58,1,O
637,59,16,O
637,60,1,O
637,61,1,O
637,67,2,O
637,70,1,O
637,74,2,O
637,77,4,O
637,78,2,O
637,79,2,O
637,81,1,O
637,83,5,O
637,86,2,O
637,89,1,O
637,92,5,O
637,94,2,O
637,98,1,O
637,100,1,O
637,101,6,O
637,104,1,O
637,109,6,O
637,117,1,O
637,122,1,O
637,137,1,O
637,140,1,O
637,142,35,O
637,145,6,O
637,147,2,O
637,148,1,O
637,150,2,O
637,152,1,O
637,153,5,O
637,158,53,O
637,166,1,O
637,167,2,O
637,171,2,O
637,173,3,O
637,175,1,O
637,176,10,O
637,178,8,O
637,179,2,O
637,184,5,O
637,188,2,O
637,190,3,O
637,192,1,O
637,195,14,O
637,197,1,O
637,202,1,O
637,203,1,O
637,205,2,O
637,212,1,O
637,215,4,O
637,223,1,O
637,226,1,O
637,230,3,O
637,242,5,O
637,244,1,O
637,245,1,O
637,249,3,O
637,258,2,O
637,261,6,O
637,262,2,O
637,265,1,O
637,266,2,O
637,273,2,O
637,279,2,O
637,280,1,O
637,291,1,O
637,292,1,O
637,294,1,O
637,295,2,M
637,300,2,O
637,302,1,O
637,303,4,O
637,304,2,O
637,305,1,O
637,309,1,O
637,310,1,O
637,314,1,O
637,317,1,O
637,318,4,O
637,319,4,O
637,327,6,O
637,329,2,O
637,342,78,O
637,346,1,O
637,347,1,O
637,351,1,O
637,358,1,O
637,377,1,O
637,382,2,O
637,390,1,O
637,398,16,O
637,399,1,O
637,413,1,O
637,421,1,O
637,425,2,O
637,429,3,O
637,445,1,O
637,451,2,O
637,469,3,M
637,471,1,M
637,474,1,M
637,477,1,M
637,488,1,M
637,503,1,M
637,510,1,M
637,535,1,M
637,536,1,M
637,541,1,M
637,545,1,M
637,555,1,M
637,557,1,M
637,572,1,M
637,578,1,M
637,585,1,M
637,592,3,M
637,598,1,M
637,631,6,M
637,635,1,M
637,639,8,M
637,642,1,M
637,644,1,M
637,671,1,M
637,672,1,M
637,687,1,M
637,701,2,M
637,704,1,M
637,710,3,M
637,711,1,M
637,719,1,M
637,721,1,M
637,726,1,M
637,741,2,M
637,742,3,M
637,812,1,M
637,821,1,M
637,831,1,M
637,841,1,M
637,844,1,M
637,850,1,M
637,852,2,M
637,860,1,M
637,894,1,M
637,908,1,M
637,918,1,M
637,940,1,M
637,942,1,M
637,948,1,M
637,952,1,M
637,973,1,M
638,3,7,O
638,29,1,O
638,35,1,O
638,39,4,O
638,47,2,O
638,49,3,O
638,50,2,O
638,51,4,O
638,54,6,O
638,55,13,O
638,56,1,O
638,59,5,O
638,60,5,O
638,79,1,O
638,122,1,O
638,142,8,O
638,145,1,O
638,153,2,O
638,165,12,O
638,169,2,O
638,176,3,O
638,181,1,O
638,184,13,O
638,186,6,O
638,188,3,O
638,190,2,O
638,193,1,O
638,199,1,O
638,215,4,O
638,224,1,O
638,240,1,O
638,246,1,O
638,263,1,O
638,278,5,O
638,287,1,O
638,300,1,O
638,304,1,O
638,305,1,O
638,331,2,O
638,379,1,O
638,388,1,O
638,390,2,O
638,412,3,O
638,488,1,M
638,505,1,M
638,514,1,M
638,531,1,M
638,539,1,M
638,543,1,M
638,555,1,M
638,583,2,M
638,593,1,M
638,639,1,M
638,649,1,M
638,663,1,M
638,665,1,M
638,668,1,M
638,670,1,M
638,739,1,M
638,757,1,M
638,766,1,M
638,780,1,M
638,783,1,M
638,941,1,M
638,951,1,M
638,994,1,M
639,47,2,O
639,50,1,O
639,55,3,O
639,56,4,O
639,59,4,O
639,95,3,O
