id,count,type,name
0,0,M ,xx 
1,65,O,hadley wickham
2,3,O,Yihui Xie
3,36,O,Ariya Hidayat
4,1,O,Remi Gillig
5,21,O,XoD
6,3,O,Daniel Gibson
7,2,O,Mathieu Bruyen
8,6,O,Joakim Lundborg
9,2,O,Matteo Redaelli
10,2,O,John McDonnell
11,1,O,Diego Valle-Jones
12,3,O,Patrick D. Schalk
13,122,O,Ramnath Vaidyanathan
14,1,O,Check your git settings!
15,2,O,Josh Bode
16,2,O,Noah Lorang
17,16,O,Leith Bade
18,4,O,Heewon Jeon
19,1,O,Dave Watson
20,10,O,Daniel Sloof
21,2,O,Christian Kamm
22,3,O,Nathan Smith
23,5,O,Anton Korobeynikov
24,1,O,Thomas Whitton
25,1,O,Jonathan Wakely
26,1,O,Andrew Tulloch
27,1,O,James Sharpe
28,1,O,Daniel Wu
29,1,O,Christopher C. Aycock
30,1,O,Chip Turner
31,1,O,hawake
32,5,O,Christopher Gandrud
33,1,O,Imanuel Costigan
34,2,O,jcborras
35,7,O,dclavijo
36,5,O,Kirill Müller
37,1,O,Andre d
38,14,O,Jeff Allen
39,383,O,Winston Chang
40,2,O,crtahlin
41,66,O,Joe Cheng
42,1,O,Peter Kümmel
43,3,O,Edwin de Jonge
44,14,O,JJ Allaire
45,11,O,Jeffrey Arnold
46,1,O,Kornelius Rohmeyer
47,28,O,Gregory Maxwell
48,3,O,Vitalie Spinu
49,28,O,Peter Todd
50,89,O,Luke-Jr
51,74,O,Wladimir J. van der Laan
52,6,O,Cory Fields
53,3,O,Martin Studer
54,112,O,Gavin Andresen
55,227,O,Philip Kaufmann
56,53,O,Matt Corallo
57,47,O,Jeff Garzik
58,6,O,Cory Fields
59,221,O,Pieter Wuille
60,21,O,Jonas Schnelli
61,1,O,Konrad Rudolph
62,1,O,Timothy Stranex
63,1,O,Johnathan Corgan
64,1,O,Rav3nPL
65,3,O,David Coallier
66,1,O,fcicq
67,4,O,phelixbtc
68,7,O,Vinnie Falco
69,6,O,Micha
70,1,O,Pieter Wuille
71,10,O,Shawn Wilkinson
72,2,O,Roman Mindalev
73,5,O,Cozz Lovan
74,4,O,Han Lin Yap
75,8,O,Mark Friedenbach
76,1,O,Nils Schneider
77,31,O,Michael Ford
78,19,O,Yoni Ben-Meshulam
79,4,O,Warren Togami
80,2,O,Brenton Kenkel
81,13,O,Jean-Olivier Irisson
82,6,O,Phil Chalmers
83,17,O,kohske takahashi
84,5,O,Michael
85,1,O,William Doane
86,5,O,Brian Diggs
87,4,O,gmbecker
88,1,O,Chris Moore
89,1,O,Andrie
90,1,O,Jeremy T. Hetzel
91,3,O,Jeremy Stephens
92,55,O,Andrew Redd
93,1,O,Benjamin Petersen
94,2,O,baptiste
95,4,O,leeight
96,2,O,Stefan Thomas
97,1,O,Sebastian Gibb
98,1,O,hcorrada
99,1,O,JoshOBrien
100,4,O,Mikhail Titov
101,6,O,Jeroen Ooms
102,2,O,bsampath
103,1,O,coderrr
104,1,O,David LeBauer
105,2,O,Karl Forner
106,1,O,Homin Lee
107,1,O,Dan Keshet
108,2,O,Charlie Lee
109,6,O,erik 'quantitative warlock' shilts
110,2,O,Scott Ellis
111,10,O,Fabien Sanglard
112,19,O,Jonathan "Geenz" Goodman
113,1,O,Michael Hendricks
114,4,O,Sergio Campamá
115,1,O,Charles-Edouard Coste
116,2,O,Antonio Cervone
117,13,O,Mike Hearn
118,3,O,R E Broadley
119,7,O,
120,11,O,Christian von Roques
121,1,O,Birger Hedman
122,22,O,xanatos
123,3,O,Rune K. Svendsen
124,1,O,Stéphane Glondu
125,4,O,Badhrinath Sampathkumar
126,1,O,osmosis
127,1,O,Carlos Alberto Lopez Perez
128,2,O,Eric
129,1,O,Chris Pilkington
130,4,O,tucenaber
131,2,O,David Parrish
132,1,O,Alexander Artemenko
133,2,O,Znort 987
134,8,O,Alexander Kjeldaas
135,12,O,Robert Backhaus
136,4,O,Colin Dean
137,1,O,Andrie de Vries
138,2,O,Simon
139,7,O,Nick Currier
140,33,O,Mike Gogulski
141,1,O,Morgan Roderick
142,230,O,Ivan De Marino
143,2,O,Dmitry Parshin
144,1,O,Richard Harris
145,42,O,Vitaliy Slobodin
146,6,O,Bryan Bishop
147,4,O,Alex Alvarez
148,1,O,Jan Minar
149,1,O,Michael Cassano
150,3,O,eric heydenberk
151,2,O,Andrew Galloni
152,2,O,Robin Helgelin
153,79,O,execjosh
154,6,O,Pavel
155,2,O,DjinnS
156,7,O,Jonathan Wilkins
157,2,O,Tom Aizenberg
158,82,O,Eric Lombrozo
159,1,O,Laurent Jouanneau
160,2,O,Max Desyatov
161,1,O,Andrew Poelstra
162,1,O,Alexander James Phillips
163,3,O,Dody Suria Wijaya
164,1,O,Capi Etheriel
165,13,O,Juliusz Gonera
166,6,O,Julian Szulc
167,12,O,James M. Greene
168,1,O,Jeff Boulter
169,3,O,Matthew Barr
170,1,O,Hirohisa Mitsuishi
171,3,O,Oleg Pudeyev
172,1,O,Ken Collins
173,7,O,Sebastian Krzyszkowiak
174,3,O,David Burrows
175,2,O,fastclemmy
176,58,O,Jon Leighton
177,1,O,Jan Schaumann
178,64,O,Milian Wolff
179,11,O,Jim Evans
180,2,O,Johan Sköld
181,1,O,tomboy-64
182,4,O,Ian Oxley
183,3,O,Shawn Krisman
184,22,O,Zhaolong Lee
185,1,O,Ryan Cumming
186,7,O,Jakub
187,3,O,mb300sd
188,21,O,neraliu
189,2,O,Ilya Grigorik
190,13,O,Alessandro Portale
191,5,O,Nicolas Perriault
192,1,O,Tom Stuart & Jon Leighton
193,3,O,Marco Ferragina
194,1,O,Anthony O.
195,37,O,david
196,1,O,Eivind Uggedal
197,1,O,Boris Nagaev
198,1,O,b.long
199,2,O,Brikou CARRE
200,13,O,Brandon Dahler
201,1,O,Stephen Young
202,1,O,Brian Donovan
203,1,O,Chris Smith
204,2,O,Baffo32
205,46,O,Leo Franchi
206,2,O,Maurice Svay
207,1,O,David Serrano
208,2,O,Antono Vasiljev
209,1,O,David Griffith
210,1,O,Will
211,26,O,IceArmy
212,1,O,Larry Gilbert
213,7,O,Robert Williamson
214,1,O,zechiel
215,9,O,Danny Wang
216,1,O,Oleg Andreev
217,1,O,Viorel Dram
218,3,O,Joe Gornick
219,1,O,Nerzahd
220,6,O,Aditya Ivaturi
221,2,O,unknown
222,2,O,Jon Lund Steffensen
223,3,O,Nick Rowe
224,1,O,Gregor Martynus
225,2,O,Richard Schwab
226,1,O,Sander Kleykens
227,1,O,Alex Whitman
228,2,O,Paul Dixon
229,1,O,Julien Ammous
230,3,O,Silvio
231,1,O,Niek van der Maas
232,1,O,Daniel Aleksandersen
233,1,O,Rob Terrell
234,1,O,Bartosz Nitka
235,6,O,Kapil Reddy
236,2,O,Erik Dubbelboer
237,2,O,Alexey Palazhchenko
238,3,O,Dennis Kaarsemaker
239,1,O,sujal
240,3,O,M. Scott Ford
241,1,O,Dunk Fordyce
242,46,O,Robert Gieseke
243,17,O,Francisco Souza
244,1,O,Ville Lautanala
245,1,O,Ismael Celis
246,1,O,Peter Jihoon Kim
247,1,O,Weston Ruter
248,3,O,Jon Turner
