PQID,CMT,UNM,CAT
20,1,Winston Chang,I
25,1,Winston Chang,I
29,2,Winston Chang,I
31,13,Winston Chang,I
33,1,Winston Chang,I
39,1,Winston Chang,I
40,1,Winston Chang,I
42,3,Winston Chang,I
44,37,Winston Chang,I
46,2,Winston Chang,I
47,3,Winston Chang,I
48,25,Winston Chang,I
49,7,Winston Chang,I
53,1,Winston Chang,I
54,1,Winston Chang,I
56,4,Winston Chang,I
62,11,Winston Chang,I
64,1,Winston Chang,I
65,2,Winston Chang,I
70,16,Winston Chang,I
75,1,Winston Chang,I
77,3,Winston Chang,I
79,1,Winston Chang,I
80,3,Winston Chang,I
88,3,Winston Chang,I
90,3,Winston Chang,I
91,3,Winston Chang,I
92,1,Winston Chang,I
94,9,Winston Chang,I
95,2,Winston Chang,I
97,2,Winston Chang,I
104,1,Winston Chang,I
106,2,Winston Chang,I
107,4,Winston Chang,I
110,2,Winston Chang,I
112,2,Winston Chang,I
116,2,Winston Chang,I
118,1,Winston Chang,I
120,1,Winston Chang,I
124,2,Winston Chang,I
125,3,Winston Chang,I
126,3,Winston Chang,I
129,4,Winston Chang,I
130,3,Winston Chang,I
134,3,Winston Chang,I
135,3,Winston Chang,I
140,1,Winston Chang,I
146,8,Winston Chang,I
147,2,Winston Chang,I
148,3,Winston Chang,I
151,10,Winston Chang,I
152,3,Winston Chang,I
155,10,Winston Chang,I
158,52,Winston Chang,I
162,4,Winston Chang,I
163,4,Winston Chang,I
171,3,Winston Chang,I
210,2,Philip Kaufmann,I
211,2,Philip Kaufmann,I
212,2,Philip Kaufmann,I
221,19,Pieter Wuille,I
228,2,Pieter Wuille,I
229,2,Philip Kaufmann,I
240,1,Pieter Wuille,I
243,3,Pieter Wuille,I
244,2,Pieter Wuille,I
249,2,Pieter Wuille,I
250,1,Pieter Wuille,I
251,1,Pieter Wuille,I
283,1,Philip Kaufmann,I
288,1,Philip Kaufmann,I
289,1,Philip Kaufmann,I
297,1,Philip Kaufmann,I
300,1,Philip Kaufmann,I
301,1,Philip Kaufmann,I
303,1,Pieter Wuille,I
304,1,Philip Kaufmann,I
305,1,Philip Kaufmann,I
307,1,Philip Kaufmann,I
309,1,Philip Kaufmann,I
314,2,Pieter Wuille,I
320,2,Pieter Wuille,I
326,23,Philip Kaufmann,I
334,1,Philip Kaufmann,I
336,1,Philip Kaufmann,I
338,2,Pieter Wuille,I
342,1,Philip Kaufmann,I
347,1,Philip Kaufmann,I
350,1,Philip Kaufmann,I
351,1,Philip Kaufmann,I
352,1,Philip Kaufmann,I
355,1,Philip Kaufmann,I
357,1,Philip Kaufmann,I
358,1,Philip Kaufmann,I
372,4,Pieter Wuille,I
373,3,Winston Chang,I
378,1,Philip Kaufmann,I
380,1,Philip Kaufmann,I
382,1,Pieter Wuille,I
387,1,Pieter Wuille,I
425,1,Pieter Wuille,I
428,1,Pieter Wuille,I
473,1,Philip Kaufmann,I
480,1,Philip Kaufmann,I
481,1,Philip Kaufmann,I
483,4,Winston Chang,I
485,13,Winston Chang,I
490,1,Pieter Wuille,I
493,1,Pieter Wuille,I
505,1,Philip Kaufmann,I
507,1,Pieter Wuille,I
513,4,Winston Chang,I
517,1,Pieter Wuille,I
529,9,Philip Kaufmann,I
539,1,Ivan De Marino,I
547,1,Ivan De Marino,I
562,1,Ivan De Marino,I
581,3,Ivan De Marino,I
598,1,Ivan De Marino,I
601,1,Philip Kaufmann,I
603,1,Philip Kaufmann,I
608,1,Pieter Wuille,I
610,1,Pieter Wuille,I
623,1,Philip Kaufmann,I
636,1,Philip Kaufmann,I
647,2,Ivan De Marino,I
648,1,Philip Kaufmann,I
650,1,Ivan De Marino,I
652,1,Ivan De Marino,I
654,1,Ivan De Marino,I
659,1,Ivan De Marino,I
662,1,Pieter Wuille,I
670,1,Pieter Wuille,I
672,1,Pieter Wuille,I
675,3,Pieter Wuille,I
678,1,Pieter Wuille,I
682,1,Pieter Wuille,I
684,3,Pieter Wuille,I
687,3,Pieter Wuille,I
701,1,Pieter Wuille,I
703,3,Ivan De Marino,I
708,1,Ivan De Marino,I
713,1,Pieter Wuille,I
714,11,Ivan De Marino,I
716,11,Winston Chang,I
719,1,Pieter Wuille,I
722,1,Philip Kaufmann,I
724,1,Philip Kaufmann,I
725,1,Ivan De Marino,I
728,3,Philip Kaufmann,I
730,1,Pieter Wuille,I
738,1,Philip Kaufmann,I
739,1,Ivan De Marino,I
744,1,Pieter Wuille,I
749,1,Philip Kaufmann,I
751,1,Ivan De Marino,I
754,3,Ivan De Marino,I
765,1,Ivan De Marino,I
768,8,Ivan De Marino,I
769,4,Philip Kaufmann,I
772,1,Ivan De Marino,I
775,1,Pieter Wuille,I
777,1,Philip Kaufmann,I
789,3,Philip Kaufmann,I
792,1,Philip Kaufmann,I
793,1,Philip Kaufmann,I
798,3,Philip Kaufmann,I
801,1,Philip Kaufmann,I
803,1,Philip Kaufmann,I
806,1,Philip Kaufmann,I
807,7,Ivan De Marino,I
808,1,Philip Kaufmann,I
811,1,Philip Kaufmann,I
815,1,Ivan De Marino,I
816,1,Pieter Wuille,I
821,1,Pieter Wuille,I
822,1,Philip Kaufmann,I
827,1,Philip Kaufmann,I
828,2,Pieter Wuille,I
830,1,Philip Kaufmann,I
831,1,Philip Kaufmann,I
832,1,Philip Kaufmann,I
834,1,Ivan De Marino,I
837,1,Philip Kaufmann,I
842,1,Pieter Wuille,I
845,1,Philip Kaufmann,I
847,1,Philip Kaufmann,I
849,3,Ivan De Marino,I
850,1,Philip Kaufmann,I
852,1,Philip Kaufmann,I
854,7,Ivan De Marino,I
855,1,Philip Kaufmann,I
865,1,Philip Kaufmann,I
867,1,Philip Kaufmann,I
886,1,Pieter Wuille,I
888,1,Pieter Wuille,I
889,1,Pieter Wuille,I
890,1,Pieter Wuille,I
891,1,Philip Kaufmann,I
894,3,Pieter Wuille,I
907,2,Philip Kaufmann,I
909,1,Philip Kaufmann,I
917,1,Philip Kaufmann,I
918,1,Philip Kaufmann,I
919,1,Philip Kaufmann,I
933,6,Ivan De Marino,I
949,1,Philip Kaufmann,I
959,1,Pieter Wuille,I
964,1,Pieter Wuille,I
965,1,Pieter Wuille,I
966,2,Pieter Wuille,I
969,1,Pieter Wuille,I
970,1,Pieter Wuille,I
974,1,Philip Kaufmann,I
977,1,Pieter Wuille,I
984,4,Ivan De Marino,I
985,2,Ivan De Marino,I
987,1,Ivan De Marino,I
988,1,Ivan De Marino,I
991,1,Philip Kaufmann,I
1000,1,Ivan De Marino,I
1007,1,Pieter Wuille,I
1009,1,Ivan De Marino,I
1016,1,Ivan De Marino,I
1032,2,Pieter Wuille,I
1033,1,Ivan De Marino,I
1034,2,Pieter Wuille,I
1035,1,Philip Kaufmann,I
1036,5,Pieter Wuille,I
1040,1,Pieter Wuille,I
1042,1,Pieter Wuille,I
1045,1,Philip Kaufmann,I
1050,1,Philip Kaufmann,I
1053,1,Philip Kaufmann,I
1057,5,Pieter Wuille,I
1060,6,Ivan De Marino,I
1064,5,Pieter Wuille,I
1068,1,Philip Kaufmann,I
1071,1,Philip Kaufmann,I
1075,1,Pieter Wuille,I
1086,1,Philip Kaufmann,I
1089,1,Ivan De Marino,I
1090,2,Philip Kaufmann,I
1093,1,Philip Kaufmann,I
1094,1,Ivan De Marino,I
1095,1,Philip Kaufmann,I
1100,1,Philip Kaufmann,I
1103,1,Philip Kaufmann,I
1109,1,Ivan De Marino,I
1113,4,Ivan De Marino,I
1114,1,Pieter Wuille,I
1119,2,Ivan De Marino,I
1126,1,Philip Kaufmann,I
1128,5,Ivan De Marino,I
1130,2,Ivan De Marino,I
1150,3,Ivan De Marino,I
1154,1,Ivan De Marino,I
1156,3,Ivan De Marino,I
1160,1,Ivan De Marino,I
1161,4,Ivan De Marino,I
1163,1,Ivan De Marino,I
1165,1,Ivan De Marino,I
1170,11,Ivan De Marino,I
1188,4,Ivan De Marino,I
1190,2,Ivan De Marino,I
1191,2,Ivan De Marino,I
1193,1,Ivan De Marino,I
1195,28,Ivan De Marino,I
1199,5,Ivan De Marino,I
1210,2,Ivan De Marino,I
1217,16,Ivan De Marino,I
1224,1,Ivan De Marino,I
1226,6,Ivan De Marino,I
1236,1,Ivan De Marino,I
1248,2,Ivan De Marino,I
1253,15,Ivan De Marino,I
1262,7,Ivan De Marino,I
1264,8,Ivan De Marino,I
1265,1,Ivan De Marino,I
1267,1,Ivan De Marino,I
1286,1,Philip Kaufmann,I
1290,1,Philip Kaufmann,I
1291,1,Philip Kaufmann,I
1292,1,Pieter Wuille,I
1299,3,Pieter Wuille,I
1302,22,Winston Chang,I
1306,1,Philip Kaufmann,I
1308,1,Philip Kaufmann,I
1334,1,Pieter Wuille,I
1341,1,Pieter Wuille,I
1346,1,Philip Kaufmann,I
1347,1,Philip Kaufmann,I
1349,1,Philip Kaufmann,I
1362,15,Winston Chang,I
1365,1,Philip Kaufmann,I
1366,2,Philip Kaufmann,I
1370,1,Philip Kaufmann,I
1374,20,Philip Kaufmann,I
1375,8,Winston Chang,I
1383,1,Philip Kaufmann,I
1386,1,Philip Kaufmann,I
1387,1,Pieter Wuille,I
1391,1,Pieter Wuille,I
1392,1,Philip Kaufmann,I
1396,2,Pieter Wuille,I
1398,1,Philip Kaufmann,I
1400,1,Philip Kaufmann,I
1403,1,Pieter Wuille,I
1408,1,Philip Kaufmann,I
1410,1,Philip Kaufmann,I
1411,1,Philip Kaufmann,I
1412,1,Philip Kaufmann,I
1416,1,Pieter Wuille,I
1418,1,Philip Kaufmann,I
1419,1,Philip Kaufmann,I
1420,1,Pieter Wuille,I
1421,1,Pieter Wuille,I
1423,1,Philip Kaufmann,I
1427,1,Philip Kaufmann,I
1428,1,Philip Kaufmann,I
1430,1,Philip Kaufmann,I
