UID,UNM,CMT
141809,Adrian Holovaty,2799
142172,Malcolm Tredinnick,1872
141890,Russell Keith-Magee,1710
40238,Jacob Kaplan-Moss,891
143568,Jannis Leidel,890
142025,Aymeric Augustin,859
141819,Claude Paroz,762
142398,Tim Graham,690
141843,Luke Plant,477
14255,Ramiro Morales,422
40025,Alex Gaynor,385
1106,Winston Chang,383
295262,Gary Wilson Jr.,335
142169,Karen Tracey,275
142184,Justin Bronn,272
143467,James Bennett,256
100136,Anssi Kääriäinen,248
2513,Ivan De Marino,230
1198,Philip Kaufmann,227
1207,Pieter Wuille,221
