PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
3906,16689,2013,6,1,1,I,Jonathan Marshall
3970,16689,2013,5,11,5,I,Jonathan Marshall
4281,15946,2012,3,29,1,I,Salvatore Sanfilippo
4281,15946,2012,4,13,65,I,Salvatore Sanfilippo
4281,15946,2012,5,2,48,I,Salvatore Sanfilippo
4281,15946,2012,6,1,13,I,Salvatore Sanfilippo
4281,15946,2012,7,18,19,I,Salvatore Sanfilippo
4281,15946,2012,8,1,20,I,Salvatore Sanfilippo
4281,15946,2012,9,4,18,I,Salvatore Sanfilippo
4281,15946,2012,10,26,21,I,Salvatore Sanfilippo
4305,16689,2012,7,13,1,I,Jonathan Marshall
4305,16689,2012,12,3,1,I,Jonathan Marshall
4305,16689,2013,1,2,27,I,Jonathan Marshall
4367,15946,2012,3,29,70,I,Salvatore Sanfilippo
4367,15946,2012,4,13,95,I,Salvatore Sanfilippo
4437,16689,2012,12,3,1,I,Jonathan Marshall
4437,16689,2013,1,2,30,I,Jonathan Marshall
4437,16689,2013,2,7,3,I,Jonathan Marshall
4476,15946,2011,4,30,5,I,Salvatore Sanfilippo
4476,15946,2011,5,1,21,I,Salvatore Sanfilippo
4513,15946,2011,2,28,7,I,Salvatore Sanfilippo
4513,15946,2011,3,9,2,I,Salvatore Sanfilippo
4513,15946,2011,4,15,17,I,Salvatore Sanfilippo
4513,15946,2011,5,1,40,I,Salvatore Sanfilippo
4513,15946,2011,6,1,28,I,Salvatore Sanfilippo
4513,15946,2011,7,1,22,I,Salvatore Sanfilippo
4513,15946,2011,8,9,2,I,Salvatore Sanfilippo
4581,16689,2012,12,3,1,I,Jonathan Marshall
4581,16689,2013,1,2,30,I,Jonathan Marshall
4581,16689,2013,2,7,3,I,Jonathan Marshall
4658,15946,2012,11,2,3,I,Salvatore Sanfilippo
4658,15946,2013,1,21,23,I,Salvatore Sanfilippo
4658,15946,2013,2,5,29,I,Salvatore Sanfilippo
4658,15946,2013,3,4,45,I,Salvatore Sanfilippo
4658,15946,2013,4,2,18,I,Salvatore Sanfilippo
4658,15946,2013,5,2,53,I,Salvatore Sanfilippo
4658,15946,2013,6,4,27,I,Salvatore Sanfilippo
4658,15946,2013,7,7,13,I,Salvatore Sanfilippo
4704,16689,2013,2,10,2,I,Jonathan Marshall
4926,15946,2012,4,19,31,I,Salvatore Sanfilippo
4926,15946,2012,5,2,48,I,Salvatore Sanfilippo
4926,15946,2012,6,1,13,I,Salvatore Sanfilippo
4926,15946,2012,7,18,19,I,Salvatore Sanfilippo
