PQID,CMT,UNM,CAT
3906,1,Jonathan Marshall,I
3970,5,Jonathan Marshall,I
4281,205,Salvatore Sanfilippo,I
4305,29,Jonathan Marshall,I
4367,165,Salvatore Sanfilippo,I
4437,34,Jonathan Marshall,I
4476,26,Salvatore Sanfilippo,I
4513,118,Salvatore Sanfilippo,I
4581,34,Jonathan Marshall,I
4658,211,Salvatore Sanfilippo,I
4704,2,Jonathan Marshall,I
4926,208,Salvatore Sanfilippo,I
4936,1,Jonathan Marshall,I
4979,1,Salvatore Sanfilippo,I
4980,2,Jonathan Marshall,I
4982,1,Jonathan Marshall,I
5026,213,Salvatore Sanfilippo,I
5036,1,Jonathan Marshall,I
5041,1,Jonathan Marshall,I
5042,5,Jonathan Marshall,I
5049,1,Jonathan Marshall,I
5086,201,Salvatore Sanfilippo,I
5108,1,Jonathan Marshall,I
5112,1,Jonathan Marshall,I
5127,1,Jonathan Marshall,I
5129,1,Jonathan Marshall,I
5158,4,Jonathan Marshall,I
5242,2,Jonathan Marshall,I
5303,1,Jason Davies,I
5305,1,Jonathan Marshall,I
5336,123,Salvatore Sanfilippo,I
5358,1,Jonathan Marshall,I
5362,1,Jonathan Marshall,I
5365,3,Jonathan Marshall,I
5382,24,Salvatore Sanfilippo,I
5388,8,Salvatore Sanfilippo,I
5398,72,Salvatore Sanfilippo,I
5418,28,Salvatore Sanfilippo,I
5452,81,Salvatore Sanfilippo,I
5490,9,Jonathan Marshall,I
5508,4,Jonathan Marshall,I
5522,1,Jonathan Marshall,I
5534,6,Jonathan Marshall,I
5604,1,Jonathan Marshall,I
5606,2,Jonathan Marshall,I
5608,5,Jonathan Marshall,I
5762,3,Jonathan Marshall,I
6138,3,Jonathan Marshall,I
6201,7,Jonathan Marshall,I
6341,5,Jonathan Marshall,I
6345,2,Jonathan Marshall,I
6356,1,Jonathan Marshall,I
6369,1,Jonathan Marshall,I
6637,2,Jonathan Marshall,I
6662,2,Jonathan Marshall,I
6668,2,Isaac Z. Schlueter,I
6988,1,Isaac Z. Schlueter,I
7036,5,Jonathan Marshall,I
7085,1,Isaac Z. Schlueter,I
7094,6,Jonathan Marshall,I
7129,2,Isaac Z. Schlueter,I
7160,10,Jonathan Marshall,I
7181,3,Jonathan Marshall,I
7240,2,Jonathan Marshall,I
7305,1,Isaac Z. Schlueter,I
7327,3,Jonathan Marshall,I
7349,11,Jonathan Marshall,I
7371,5,Jonathan Marshall,I
7374,2,Jonathan Marshall,I
7395,2,Jonathan Marshall,I
7414,1,Jonathan Marshall,I
7429,4,Jonathan Marshall,I
7491,30,Jonathan Marshall,I
7531,16,N. Taylor Mullen,I
7554,5,N. Taylor Mullen,I
7561,150,N. Taylor Mullen,I
7640,7,arturo,I
7643,4,arturo,I
7656,3,Theodore Watson,I
7664,2,David Fowler,I
7672,1,N. Taylor Mullen,I
7727,3,N. Taylor Mullen,I
7734,1,David Fowler,I
7741,1,David Fowler,I
7742,1,N. Taylor Mullen,I
7748,2,David Fowler,I
7752,1,arturo,I
7769,4,N. Taylor Mullen,I
7777,1,David Fowler,I
7779,3,N. Taylor Mullen,I
7781,1,David Fowler,I
7784,1,David Fowler,I
7792,2,N. Taylor Mullen,I
7803,27,arturo,I
7806,2,David Fowler,I
7822,1,David Fowler,I
7835,2,arturo,I
7838,3,arturo,I
7854,1,David Fowler,I
7865,1,David Fowler,I
7886,2,David Fowler,I
7893,2,N. Taylor Mullen,I
7923,2,N. Taylor Mullen,I
7927,1,N. Taylor Mullen,I
7956,1,Theodore Watson,I
7972,1,Jonathan Marshall,I
7980,1,N. Taylor Mullen,I
7994,4,N. Taylor Mullen,I
8003,11,N. Taylor Mullen,I
8005,6,Theodore Watson,I
8006,1,Theodore Watson,I
8007,1,Theodore Watson,I
8009,2,arturo,I
8011,1,Theodore Watson,I
8015,3,N. Taylor Mullen,I
8033,4,Jonathan Marshall,I
8050,38,Jonathan Marshall,I
8052,11,N. Taylor Mullen,I
8059,5,N. Taylor Mullen,I
8084,6,N. Taylor Mullen,I
8096,104,N. Taylor Mullen,I
8116,1,Jonathan Marshall,I
8117,1,Jonathan Marshall,I
8122,1,Jonathan Marshall,I
8134,1,arturo,I
8137,1,arturo,I
8168,1,Kyle McDonald,I
8169,3,arturo,I
8171,1,Theodore Watson,I
8179,1,Theodore Watson,I
8185,3,Theodore Watson,I
8189,1,arturo,I
8198,4,N. Taylor Mullen,I
8212,1,Kyle McDonald,I
8219,2,arturo,I
8233,2,N. Taylor Mullen,I
8246,1,arturo,I
8254,4,David Fowler,I
8255,4,Theodore Watson,I
8261,4,Theodore Watson,I
8266,3,Theodore Watson,I
8270,125,Theodore Watson,I
8285,4,Jonathan Marshall,I
8291,2,David Fowler,I
8293,1,arturo,I
8294,3,arturo,I
8295,1,Theodore Watson,I
8298,5,Kyle McDonald,I
8300,78,N. Taylor Mullen,I
8304,6,arturo,I
8306,1,Jonathan Marshall,I
8313,1,David Fowler,I
8317,16,arturo,I
8329,3,David Fowler,I
8336,3,Theodore Watson,I
8343,1,David Fowler,I
8346,43,Theodore Watson,I
8361,5,Theodore Watson,I
8371,126,Theodore Watson,I
8373,1,David Fowler,I
8375,3,David Fowler,I
8383,2,David Fowler,I
8388,2,N. Taylor Mullen,I
8397,5,David Fowler,I
8423,1,Theodore Watson,I
8426,2,Theodore Watson,I
8427,2,Theodore Watson,I
8428,2,Theodore Watson,I
8429,1,David Fowler,I
8431,2,Theodore Watson,I
8438,2,Jonathan Marshall,I
8440,32,N. Taylor Mullen,I
8446,2,David Fowler,I
8447,2,Jonathan Marshall,I
8456,3,N. Taylor Mullen,I
8464,3,Kyle McDonald,I
8470,3,Jonathan Marshall,I
8482,1,David Fowler,I
8486,1,Kyle McDonald,I
8489,3,N. Taylor Mullen,I
8500,1,N. Taylor Mullen,I
8503,1,N. Taylor Mullen,I
8516,3,N. Taylor Mullen,I
8533,154,Theodore Watson,I
8543,3,Jonathan Marshall,I
8556,1,N. Taylor Mullen,I
8568,6,N. Taylor Mullen,I
8575,1,Jonathan Marshall,I
8580,2,Jonathan Marshall,I
8582,11,Jonathan Marshall,I
8604,5,Jonathan Marshall,I
8612,1,Jonathan Marshall,I
8617,23,N. Taylor Mullen,I
8630,7,N. Taylor Mullen,I
8634,5,N. Taylor Mullen,I
8641,1,N. Taylor Mullen,I
8643,1,David Fowler,I
8651,7,David Fowler,I
8655,1,Kyle McDonald,I
8657,3,Jonathan Marshall,I
8659,2,David Fowler,I
8660,1,Jonathan Marshall,I
8664,1,David Fowler,I
8672,1,David Fowler,I
8673,1,David Fowler,I
8675,10,N. Taylor Mullen,I
8693,26,N. Taylor Mullen,I
8695,1,Jonathan Marshall,I
8696,10,David Fowler,I
8705,1,David Fowler,I
8726,2,N. Taylor Mullen,I
8730,5,Jonathan Marshall,I
8736,1,Kyle McDonald,I
8738,2,Theodore Watson,I
8739,1,Kyle McDonald,I
8755,2,David Fowler,I
8760,4,David Fowler,I
8765,5,N. Taylor Mullen,I
8769,6,N. Taylor Mullen,I
8779,1,David Fowler,I
8795,1,David Fowler,I
8796,2,Theodore Watson,I
8800,22,N. Taylor Mullen,I
8810,1,David Fowler,I
8813,2,David Fowler,I
8816,24,N. Taylor Mullen,I
8824,7,arturo,I
8825,4,David Fowler,I
8826,5,David Fowler,I
8831,85,arturo,I
8845,3,N. Taylor Mullen,I
8856,5,N. Taylor Mullen,I
8864,3,David Fowler,I
8866,1,David Fowler,I
8888,5,N. Taylor Mullen,I
8908,4,N. Taylor Mullen,I
8921,7,N. Taylor Mullen,I
8924,211,N. Taylor Mullen,I
8931,4,N. Taylor Mullen,I
8940,2,N. Taylor Mullen,I
8943,2,N. Taylor Mullen,I
8945,1,David Fowler,I
8955,2,David Fowler,I
8960,1,arturo,I
8962,5,arturo,I
8969,7,N. Taylor Mullen,I
8979,1,N. Taylor Mullen,I
8984,6,David Fowler,I
8989,133,Theodore Watson,I
8994,2,N. Taylor Mullen,I
8996,1,David Fowler,I
8999,5,N. Taylor Mullen,I
9011,1,N. Taylor Mullen,I
9017,1,David Fowler,I
9019,2,David Fowler,I
9021,1,David Fowler,I
9031,5,arturo,I
9032,2,David Fowler,I
9038,6,N. Taylor Mullen,I
9039,1,arturo,I
9041,1,arturo,I
9047,5,N. Taylor Mullen,I
9057,9,N. Taylor Mullen,I
9059,2,arturo,I
9061,2,arturo,I
9064,2,Theodore Watson,I
9065,6,N. Taylor Mullen,I
9075,3,Kyle McDonald,I
9080,1,Kyle McDonald,I
9084,4,arturo,I
9087,1,arturo,I
9088,2,arturo,I
9090,1,arturo,I
9097,14,arturo,I
9099,1,arturo,I
9110,2,arturo,I
9112,2,Theodore Watson,I
9118,1,arturo,I
9124,2,arturo,I
9126,107,Theodore Watson,I
9145,1,N. Taylor Mullen,I
9147,2,N. Taylor Mullen,I
9187,1,arturo,I
9196,6,arturo,I
9278,1,arturo,I
9282,1,arturo,I
9283,1,arturo,I
9304,1,arturo,I
9306,1,arturo,I
9307,1,arturo,I
9309,1,Kyle McDonald,I
9336,24,arturo,I
9340,1,Kyle McDonald,I
9341,2,arturo,I
9365,7,arturo,I
9366,3,arturo,I
9391,1,Theodore Watson,I
9393,7,Theodore Watson,I
9394,3,arturo,I
9398,1,Theodore Watson,I
9412,32,Theodore Watson,I
9426,27,Theodore Watson,I
9428,1,arturo,I
9433,3,Jonathan Marshall,I
9439,1,arturo,I
9440,1,arturo,I
9443,2,arturo,I
9445,8,arturo,I
9451,2,Theodore Watson,I
9452,3,Theodore Watson,I
9480,5,arturo,I
9485,250,Alexey,I
9513,1,Jonathan Marshall,I
9520,128,arturo,I
9538,1,Jonathan Marshall,I
9540,5,Jonathan Marshall,I
9552,1,Kyle McDonald,I
9570,2,Kyle McDonald,I
9578,5,arturo,I
9596,2,arturo,I
9597,86,arturo,I
9602,1,Kyle McDonald,I
9646,5,Jonathan Marshall,I
9678,3,Jonathan Marshall,I
9690,1,Theodore Watson,I
9693,5,arturo,I
9704,2,Theodore Watson,I
9756,48,Theodore Watson,I
9775,9,Jonathan Marshall,I
9814,1,arturo,I
9820,3,Kyle McDonald,I
9823,3,Kyle McDonald,I
9834,143,Theodore Watson,I
9839,8,Jonathan Marshall,I
9876,119,Theodore Watson,I
9886,1,Kyle McDonald,I
9897,15,Kyle McDonald,I
9909,3,Jonathan Marshall,I
9977,3,Jonathan Marshall,I
9980,138,Theodore Watson,I
9999,49,Jonathan Marshall,I
10002,15,Kyle McDonald,I
10017,14,Kyle McDonald,I
10031,128,Theodore Watson,I
10073,1,Kyle McDonald,I
10090,5,Kyle McDonald,I
10106,5,Kyle McDonald,I
10112,3,Kyle McDonald,I
10121,156,Theodore Watson,I
10135,157,Theodore Watson,I
10146,144,Theodore Watson,I
10160,132,Theodore Watson,I
10175,3,Kyle McDonald,I
10177,121,Theodore Watson,I
10183,116,Theodore Watson,I
10197,5,Theodore Watson,I
10203,1,arturo,I
10217,1,Kyle McDonald,I
10219,4,Kyle McDonald,I
10233,79,Theodore Watson,I
10246,2,Kyle McDonald,I
10263,56,Theodore Watson,I
10270,56,Theodore Watson,I
10302,31,arturo,I
10322,2,Kyle McDonald,I
10368,2,Kyle McDonald,I
10392,6,Kyle McDonald,I
10405,1,Nay,I
10406,31,Nay,I
10410,11,Kyle McDonald,I
10431,9,Kyle McDonald,I
10442,1,Kyle McDonald,I
10470,2,Kyle McDonald,I
10472,86,Nay,I
10478,3,Kyle McDonald,I
10492,2,Kyle McDonald,I
10494,47,arturo,I
10521,1,Kyle McDonald,I
10537,1,Kyle McDonald,I
10620,107,Nay,I
10624,76,arturo,I
10634,55,arturo,I
10642,83,arturo,I
10643,17,Jonathan Marshall,I
10650,12,Kyle McDonald,I
10652,16,Kyle McDonald,I
10657,16,Kyle McDonald,I
10658,23,Kyle McDonald,I
10702,27,Nay,I
10734,2,Kyle McDonald,I
10735,5,Kyle McDonald,I
10739,6,Kyle McDonald,I
10789,8,Kyle McDonald,I
10803,7,Kyle McDonald,I
10808,20,Kyle McDonald,I
10823,9,Kyle McDonald,I
10829,4,Kyle McDonald,I
10831,3,Jonathan Marshall,I
10834,1,Jonathan Marshall,I
10844,24,Kyle McDonald,I
10845,17,Jonathan Marshall,I
10865,1,Jonathan Marshall,I
10968,1,Nay,I
10976,4,Nay,I
10987,98,Nay,I
11084,240,Alexey,I
11126,62,Nay,I
11147,3,Alexey,I
11279,2,Nay,I
11301,13,Nay,I
11334,30,Nay,I
11338,230,Alexey,I
11378,70,Nay,I
11410,70,Nay,I
11443,1,Alexey,I
12006,24,Nay,I
12034,24,Nay,I
12046,1,Nay,I
12862,8,N. Taylor Mullen,I
12971,6,N. Taylor Mullen,I
13968,2,David Fowler,I
14235,12,N. Taylor Mullen,I
14914,3,David Fowler,I
14927,17,Ayende Rahien,I
14940,5,N. Taylor Mullen,I
14960,10,Ayende Rahien,I
14980,84,Ayende Rahien,I
14982,41,Ayende Rahien,I
14984,122,Ayende Rahien,I
14985,11,Ayende Rahien,I
15015,16,Ayende Rahien,I
15021,25,Ayende Rahien,I
15027,162,Ayende Rahien,I
15039,242,Ayende Rahien,I
15040,54,Ayende Rahien,I
15056,25,Ayende Rahien,I
15068,72,Ayende Rahien,I
15092,47,Ayende Rahien,I
15096,85,Ayende Rahien,I
15125,1,Ayende Rahien,I
15550,5,Jake Wharton,I
15607,1,Jake Wharton,I
15703,51,Jake Wharton,I
15796,61,Jake Wharton,I
15847,1,Jake Wharton,I
15873,4,Jake Wharton,I
15908,239,Jake Wharton,I
15924,243,Jake Wharton,I
15927,246,Jake Wharton,I
18349,1,Jason Davies,I
18373,2,Isaac Z. Schlueter,I
18374,2,Isaac Z. Schlueter,I
18375,1,Isaac Z. Schlueter,I
18387,1,Isaac Z. Schlueter,I
18391,1,Isaac Z. Schlueter,I
18417,1,Isaac Z. Schlueter,I
18429,1,Isaac Z. Schlueter,I
18463,2,Isaac Z. Schlueter,I
18470,2,Isaac Z. Schlueter,I
18476,1,Isaac Z. Schlueter,I
18515,1,Isaac Z. Schlueter,I
18525,2,Isaac Z. Schlueter,I
18542,2,Isaac Z. Schlueter,I
18549,1,Isaac Z. Schlueter,I
18588,1,Isaac Z. Schlueter,I
18613,1,Isaac Z. Schlueter,I
18649,1,Isaac Z. Schlueter,I
18653,1,Isaac Z. Schlueter,I
18656,1,Isaac Z. Schlueter,I
18660,5,Isaac Z. Schlueter,I
18700,1,Isaac Z. Schlueter,I
18724,1,Isaac Z. Schlueter,I
18734,1,Isaac Z. Schlueter,I
18833,13,Isaac Z. Schlueter,I
18845,1,Isaac Z. Schlueter,I
18847,1,Isaac Z. Schlueter,I
18853,1,Isaac Z. Schlueter,I
18897,1,Isaac Z. Schlueter,I
18911,1,Isaac Z. Schlueter,I
18925,1,Isaac Z. Schlueter,I
18968,5,Isaac Z. Schlueter,I
18974,5,Isaac Z. Schlueter,I
18981,1,Isaac Z. Schlueter,I
19012,2,Isaac Z. Schlueter,I
19062,2,Isaac Z. Schlueter,I
19090,1,Isaac Z. Schlueter,I
19129,1,Isaac Z. Schlueter,I
19132,1,Isaac Z. Schlueter,I
19147,1,Isaac Z. Schlueter,I
19164,1,Isaac Z. Schlueter,I
19181,1,Isaac Z. Schlueter,I
19186,1,Isaac Z. Schlueter,I
19191,1,Isaac Z. Schlueter,I
19195,1,Isaac Z. Schlueter,I
19197,1,Isaac Z. Schlueter,I
19198,1,Isaac Z. Schlueter,I
19202,1,Isaac Z. Schlueter,I
19222,4,Isaac Z. Schlueter,I
19245,3,Isaac Z. Schlueter,I
19266,2,Isaac Z. Schlueter,I
19270,1,Isaac Z. Schlueter,I
19271,1,Isaac Z. Schlueter,I
19275,2,Isaac Z. Schlueter,I
19297,1,Isaac Z. Schlueter,I
19299,1,Isaac Z. Schlueter,I
19305,127,Isaac Z. Schlueter,I
19313,2,Isaac Z. Schlueter,I
19349,1,Isaac Z. Schlueter,I
19351,1,Isaac Z. Schlueter,I
19382,1,Isaac Z. Schlueter,I
19389,1,Isaac Z. Schlueter,I
19441,1,Isaac Z. Schlueter,I
19447,1,Isaac Z. Schlueter,I
19448,105,Isaac Z. Schlueter,I
19562,1,Isaac Z. Schlueter,I
