PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
3420,12747,2013,7,18,6,I,Sascha Montellese
3420,12747,2013,8,3,4,I,Sascha Montellese
3541,12747,2013,2,18,3,I,Sascha Montellese
3552,12747,2013,9,14,1,I,Sascha Montellese
3731,12747,2013,7,22,19,I,Sascha Montellese
3756,12747,2012,12,20,1,I,Sascha Montellese
3756,12747,2013,7,18,6,I,Sascha Montellese
3779,12747,2013,5,21,1,I,Sascha Montellese
3875,12747,2013,6,5,8,I,Sascha Montellese
3894,12747,2013,6,3,3,I,Sascha Montellese
3906,16689,2013,6,1,1,I,Jonathan Marshall
3907,16689,2013,6,1,1,I,Jonathan Marshall
3938,12747,2013,5,21,1,I,Sascha Montellese
3942,12747,2013,5,18,1,I,Sascha Montellese
3943,12747,2013,5,18,2,I,Sascha Montellese
3970,16689,2013,5,11,5,I,Jonathan Marshall
4035,12747,2012,11,13,5,I,Sascha Montellese
4035,12747,2013,4,27,11,I,Sascha Montellese
4081,12747,2013,4,14,10,I,Sascha Montellese
4098,12747,2013,4,12,2,I,Sascha Montellese
4178,12747,2013,4,7,7,I,Sascha Montellese
4230,12747,2013,3,16,7,I,Sascha Montellese
4230,12747,2013,4,4,2,I,Sascha Montellese
4274,12747,2013,3,26,1,I,Sascha Montellese
4281,15946,2012,3,29,1,I,Salvatore Sanfilippo
4281,15946,2012,4,13,65,I,Salvatore Sanfilippo
4281,15946,2012,5,2,48,I,Salvatore Sanfilippo
4281,15946,2012,6,1,13,I,Salvatore Sanfilippo
4281,15946,2012,7,18,19,I,Salvatore Sanfilippo
4281,15946,2012,8,1,20,I,Salvatore Sanfilippo
4281,15946,2012,9,4,18,I,Salvatore Sanfilippo
4281,15946,2012,10,26,21,I,Salvatore Sanfilippo
4347,12747,2013,2,7,2,I,Sascha Montellese
4347,12747,2013,3,7,12,I,Sascha Montellese
4367,15946,2012,3,29,70,I,Salvatore Sanfilippo
4367,15946,2012,4,13,95,I,Salvatore Sanfilippo
4387,12747,2013,3,11,2,I,Sascha Montellese
4437,12747,2013,1,7,4,I,Sascha Montellese
4437,12747,2013,2,2,8,I,Sascha Montellese
4437,12747,2013,3,1,1,I,Sascha Montellese
4437,16689,2012,12,3,1,I,Jonathan Marshall
4437,16689,2013,1,2,30,I,Jonathan Marshall
4437,16689,2013,2,7,3,I,Jonathan Marshall
4529,12747,2013,3,1,1,I,Sascha Montellese
4548,12747,2013,2,25,1,I,Sascha Montellese
4581,12747,2013,1,7,4,I,Sascha Montellese
4581,12747,2013,2,2,1,I,Sascha Montellese
4581,16689,2012,12,3,1,I,Jonathan Marshall
4581,16689,2013,1,2,30,I,Jonathan Marshall
4581,16689,2013,2,7,3,I,Jonathan Marshall
4609,12747,2012,11,28,1,I,Sascha Montellese
4609,12747,2013,2,18,6,I,Sascha Montellese
4658,15946,2012,11,2,3,I,Salvatore Sanfilippo
4658,15946,2013,1,21,23,I,Salvatore Sanfilippo
4658,15946,2013,2,5,29,I,Salvatore Sanfilippo
4658,15946,2013,3,4,45,I,Salvatore Sanfilippo
4658,15946,2013,4,2,18,I,Salvatore Sanfilippo
4658,15946,2013,5,2,53,I,Salvatore Sanfilippo
4658,15946,2013,6,4,27,I,Salvatore Sanfilippo
4658,15946,2013,7,7,13,I,Salvatore Sanfilippo
4735,12747,2013,2,18,11,I,Sascha Montellese
4782,12747,2013,2,2,1,I,Sascha Montellese
4812,15946,2013,4,18,17,I,Salvatore Sanfilippo
4812,15946,2013,5,2,7,I,Salvatore Sanfilippo
4822,12747,2013,1,29,1,I,Sascha Montellese
4926,15946,2012,4,19,31,I,Salvatore Sanfilippo
4926,15946,2012,5,2,48,I,Salvatore Sanfilippo
4926,15946,2012,6,1,13,I,Salvatore Sanfilippo
4926,15946,2012,7,18,19,I,Salvatore Sanfilippo
4926,15946,2012,8,1,20,I,Salvatore Sanfilippo
4926,15946,2012,9,4,18,I,Salvatore Sanfilippo
4926,15946,2012,10,26,24,I,Salvatore Sanfilippo
4926,15946,2012,11,1,25,I,Salvatore Sanfilippo
4926,15946,2012,12,20,10,I,Salvatore Sanfilippo
4933,16689,2013,1,8,1,I,Jonathan Marshall
4960,16689,2013,1,2,1,I,Jonathan Marshall
4980,16689,2012,12,29,2,I,Jonathan Marshall
5026,15946,2011,7,11,14,I,Salvatore Sanfilippo
5026,15946,2011,8,9,2,I,Salvatore Sanfilippo
5026,15946,2011,9,11,39,I,Salvatore Sanfilippo
5026,15946,2011,10,3,32,I,Salvatore Sanfilippo
5026,15946,2011,11,11,22,I,Salvatore Sanfilippo
5026,15946,2011,12,1,16,I,Salvatore Sanfilippo
5026,15946,2012,1,6,9,I,Salvatore Sanfilippo
5026,15946,2012,2,26,32,I,Salvatore Sanfilippo
5026,15946,2012,3,16,14,I,Salvatore Sanfilippo
5026,15946,2012,4,4,15,I,Salvatore Sanfilippo
5026,15946,2012,5,14,17,I,Salvatore Sanfilippo
5026,15946,2012,6,21,1,I,Salvatore Sanfilippo
5032,12747,2012,12,21,1,I,Sascha Montellese
5034,16689,2012,12,19,1,I,Jonathan Marshall
5036,16689,2012,12,18,1,I,Jonathan Marshall
5042,16689,2012,12,18,5,I,Jonathan Marshall
5049,16689,2012,12,15,1,I,Jonathan Marshall
5108,16689,2012,12,3,1,I,Jonathan Marshall
5112,16689,2012,12,3,1,I,Jonathan Marshall
5127,16689,2012,12,1,1,I,Jonathan Marshall
5158,16689,2012,11,28,4,I,Jonathan Marshall
5206,12747,2012,11,22,1,I,Sascha Montellese
5209,12747,2012,11,21,4,I,Sascha Montellese
5242,16689,2012,11,16,2,I,Jonathan Marshall
5258,12747,2012,11,14,1,I,Sascha Montellese
5278,12747,2012,11,14,1,I,Sascha Montellese
5289,12747,2012,11,13,1,I,Sascha Montellese
5290,12747,2012,11,13,2,I,Sascha Montellese
5305,16689,2012,11,10,1,I,Jonathan Marshall
5328,12747,2012,11,7,2,I,Sascha Montellese
5336,15946,2010,12,15,9,I,Salvatore Sanfilippo
5336,15946,2011,1,27,19,I,Salvatore Sanfilippo
5336,15946,2011,2,7,13,I,Salvatore Sanfilippo
5336,15946,2011,3,7,9,I,Salvatore Sanfilippo
5336,15946,2011,4,15,13,I,Salvatore Sanfilippo
5336,15946,2011,5,5,23,I,Salvatore Sanfilippo
5336,15946,2011,6,9,14,I,Salvatore Sanfilippo
5336,15946,2011,7,27,17,I,Salvatore Sanfilippo
5336,15946,2011,9,11,6,I,Salvatore Sanfilippo
5345,12747,2012,11,5,1,I,Sascha Montellese
5362,16689,2012,11,1,1,I,Jonathan Marshall
5365,16689,2012,10,31,3,I,Jonathan Marshall
5367,12747,2012,10,31,3,I,Sascha Montellese
5369,12747,2012,10,31,4,I,Sascha Montellese
5398,15946,2010,12,15,9,I,Salvatore Sanfilippo
5398,15946,2011,1,27,19,I,Salvatore Sanfilippo
5398,15946,2011,2,7,13,I,Salvatore Sanfilippo
5398,15946,2011,3,7,9,I,Salvatore Sanfilippo
5398,15946,2011,4,15,13,I,Salvatore Sanfilippo
5398,15946,2011,5,5,9,I,Salvatore Sanfilippo
5418,15946,2010,12,15,9,I,Salvatore Sanfilippo
5418,15946,2011,1,27,19,I,Salvatore Sanfilippo
5490,16689,2012,10,30,9,I,Jonathan Marshall
