UID,UNM,CMT
175556,David Heinemeier Hansson,3404
69820,Jeremy Kemper,3240
31607,Aaron Patterson,2668
43434,José Valim,2362
30282,arturo,2269
170069,Rafael Mendonça França,1554
15946,Salvatore Sanfilippo,1249
175103,Xavier Noria,1248
22053,Santiago Pastorino,1189
170043,Carlos Antonio da Silva,1107
30535,Joshua Peek,1057
2638,Jon Leighton,930
17402,Vijay Dev,898
4351,Nay,835
27536,Alexey,739
30288,Kyle McDonald,707
25158,blub,654
32350,David Fowler,595
178284,Pratik,576
9962,Shauren,572
56175,Michael Koziarski,550
30281,Theodore Watson,532
28891,Russell Belfer,511
16689,Jonathan Marshall,507
25180,Subv,500
32347,N. Taylor Mullen,490
169886,Piotr Sarnacki,456
72858,risk danger olson,455
30285,lukasz karluk,427
12747,Sascha Montellese,409
