source,target,count,type
880,56,2,O
880,777,1,O
880,920,1,M
888,1,13,O
888,3,9,O
888,40,14,O
888,42,4,O
888,48,6,O
888,50,7,O
888,51,10,O
888,52,30,O
888,55,21,O
888,56,55,O
888,57,4,O
888,58,8,O
888,60,52,O
888,61,7,O
888,63,1,O
888,64,1,O
888,66,3,O
888,73,1,O
888,76,4,O
888,78,10,O
888,151,1,O
888,161,9,O
888,163,6,O
888,167,1,O
888,169,2,O
888,176,5,O
888,177,1,O
888,181,1,O
888,183,64,O
888,186,8,O
888,191,2,O
888,192,1,O
888,193,1,O
888,194,33,O
888,195,1,O
888,198,1,O
888,200,8,O
888,204,1,O
888,208,4,O
888,209,7,O
888,215,6,O
888,217,2,O
888,218,12,O
888,220,12,O
888,221,4,O
888,222,2,O
888,224,4,O
888,226,13,O
888,228,1,O
888,232,9,O
888,237,6,O
888,243,1,O
888,245,1,O
888,246,2,O
888,247,28,O
888,248,2,O
888,252,1,O
888,253,10,O
888,257,1,O
888,259,1,O
888,265,1,O
888,269,1,O
888,270,2,O
888,281,2,O
888,285,24,O
888,286,17,O
888,288,1,O
888,289,1,O
888,290,1,O
888,291,2,O
888,292,1,O
888,293,5,O
888,294,1,O
888,295,1,O
888,296,1,O
888,297,1,O
888,299,2,O
888,300,1,O
888,302,2,O
888,304,6,O
888,307,1,O
888,311,1,O
888,323,1,O
888,331,1,O
888,337,2,O
888,339,1,O
888,341,1,O
888,354,1,O
888,355,4,O
888,365,16,O
888,419,1,O
888,432,1,O
888,434,3,O
888,435,1,O
888,438,1,O
888,439,3,O
888,440,1,O
888,441,18,O
888,442,3,O
888,443,2,O
888,447,2,O
888,449,36,O
888,451,2,O
888,454,1,O
888,457,3,O
888,458,4,O
888,461,1,O
888,465,1,O
888,466,1,O
888,467,2,O
888,470,1,O
888,476,1,O
888,478,1,O
888,479,1,O
888,481,1,O
888,486,4,O
888,489,3,O
888,490,1,O
888,491,1,O
888,496,1,O
888,497,3,O
888,498,2,O
888,499,1,O
888,506,1,O
888,515,1,O
888,516,3,O
888,519,1,O
888,899,1,M
897,48,1,O
897,51,13,O
897,52,15,O
897,55,2,O
897,56,2,O
897,57,16,O
897,60,9,O
897,75,1,O
897,77,1,O
897,108,1,O
897,110,6,O
897,113,2,O
897,115,7,O
897,116,1,O
897,117,3,O
897,120,2,O
897,133,1,O
897,141,1,O
897,144,1,O
897,147,1,O
897,148,2,O
897,338,1,O
897,343,4,O
897,346,2,O
897,350,2,O
897,518,2,O
897,520,1,O
897,526,213,O
897,529,1,O
897,532,2,O
897,535,3,O
897,539,1,O
897,541,1,O
897,548,22,O
897,550,2,O
897,551,1,O
897,563,2,O
897,564,2,O
897,568,1,O
897,586,2,O
897,592,169,O
897,625,28,O
897,642,2,O
897,650,1,O
897,655,1,O
897,667,1,O
897,676,1,O
897,677,1,O
897,680,1,O
897,687,2,O
897,689,2,O
897,694,4,O
897,696,1,O
897,699,1,O
897,700,1,O
897,703,2,O
897,707,3,O
897,708,1,O
897,710,4,O
897,711,6,O
897,713,1,O
897,718,1,O
897,720,17,O
897,723,5,O
897,730,1,O
897,732,1,O
897,734,2,O
897,748,1,O
897,753,4,O
897,762,2,O
897,780,2,O
897,784,2,O
897,785,1,O
897,789,1,O
897,794,1,O
897,795,6,O
897,803,3,O
897,820,2,O
897,831,1,O
897,832,5,O
897,839,1,O
897,852,3,O
897,855,2,O
897,861,1,O
897,862,1,O
897,863,1,O
897,864,1,O
897,865,5,O
