id,count,type,name
0,0,M ,xx 
1,65,O,hadley wickham
2,3,O,Yihui Xie
3,36,O,Ariya Hidayat
4,1,O,Remi Gillig
5,21,O,XoD
6,3,O,Daniel Gibson
7,2,O,Mathieu Bruyen
8,6,O,Joakim Lundborg
9,2,O,Matteo Redaelli
10,2,O,John McDonnell
11,1,O,Diego Valle-Jones
12,3,O,Patrick D. Schalk
13,122,O,Ramnath Vaidyanathan
14,1,O,Check your git settings!
15,2,O,Josh Bode
16,2,O,Noah Lorang
17,16,O,Leith Bade
18,4,O,Heewon Jeon
19,1,O,Dave Watson
20,10,O,Daniel Sloof
21,2,O,Christian Kamm
22,1,O,Rogério Brito
23,3,O,Nathan Smith
24,5,O,Anton Korobeynikov
25,1,O,Thomas Whitton
26,1,O,Jonathan Wakely
27,1,O,Andrew Tulloch
28,1,O,James Sharpe
29,1,O,Daniel Wu
30,1,O,Christopher C. Aycock
31,1,O,Chip Turner
32,1,O,hawake
33,5,O,Christopher Gandrud
34,1,O,Imanuel Costigan
35,2,O,jcborras
36,7,O,dclavijo
37,5,O,Kirill Müller
38,1,O,Andre d
39,14,O,Jeff Allen
40,383,O,Winston Chang
41,2,O,crtahlin
42,66,O,Joe Cheng
43,1,O,Peter Kümmel
44,3,O,Edwin de Jonge
45,14,O,JJ Allaire
46,11,O,Jeffrey Arnold
47,1,O,Kornelius Rohmeyer
48,37,O,Gregory Maxwell
49,3,O,Vitalie Spinu
50,28,O,Peter Todd
51,252,O,Luke-Jr
52,452,O,Wladimir J. van der Laan
53,6,O,Cory Fields
54,3,O,Martin Studer
55,198,O,Gavin Andresen
56,337,O,Philip Kaufmann
57,249,O,Matt Corallo
58,47,O,Jeff Garzik
59,6,O,Cory Fields
60,350,O,Pieter Wuille
61,21,O,Jonas Schnelli
62,1,O,Konrad Rudolph
63,1,O,Timothy Stranex
64,1,O,Johnathan Corgan
65,1,O,Rav3nPL
66,3,O,David Coallier
67,1,O,fcicq
68,4,O,phelixbtc
69,7,O,Vinnie Falco
70,6,O,Micha
71,1,O,Pieter Wuille
72,10,O,Shawn Wilkinson
73,2,O,Roman Mindalev
74,5,O,Cozz Lovan
75,12,O,Han Lin Yap
76,8,O,Mark Friedenbach
77,9,O,Nils Schneider
78,50,O,Michael Ford
79,19,O,Yoni Ben-Meshulam
80,4,O,Warren Togami
81,2,O,Brenton Kenkel
82,13,O,Jean-Olivier Irisson
83,6,O,Phil Chalmers
84,17,O,kohske takahashi
85,5,O,Michael
86,1,O,William Doane
87,5,O,Brian Diggs
88,4,O,gmbecker
89,27,O,Chris Moore
90,4,O,Dev Random
91,1,O,Andrie
92,1,O,Hal
93,1,O,Jeremy T. Hetzel
94,3,O,phantomcircuit
95,3,O,Jeremy Stephens
96,55,O,Andrew Redd
97,1,O,Benjamin Petersen
98,2,O,baptiste
99,4,O,leeight
100,3,O,Chris Howie
101,2,O,Stefan Thomas
102,1,O,Sebastian Gibb
103,1,O,hcorrada
104,1,O,JoshOBrien
105,4,O,Mikhail Titov
106,7,O,Bobby Groff
107,6,O,Jeroen Ooms
108,1,O,Shane Wegner
109,2,O,bsampath
110,18,O,Stéphane Gimenez
111,1,O,James Burkle
112,2,O,coderrr
113,4,O,Dylan Noblesmith
114,21,O,Giel van Schijndel
115,13,O,Vegard Nossum
116,1,O,Glen Low
117,3,O,Petr Baudis
118,1,O,Florian Echtler
119,1,O,David LeBauer
120,4,O,Eric Hosmer
121,2,O,somebadger
122,2,O,Karl Forner
123,1,O,Johannes Henninger
124,1,O,Lucy Kobarashi
125,4,O,Daniel Newton
126,5,O,Michal Zima
127,1,O,ovdeathiam
128,1,O,Homin Lee
129,1,O,Dan Keshet
130,1,O,mklarmann
131,3,O,David Perry
132,4,O,Charlie Lee
133,1,O,Victor Leschuk
134,6,O,erik 'quantitative warlock' shilts
135,1,O,kwaaak
136,10,O,Scott Ellis
137,10,O,Fabien Sanglard
138,2,O,Ang Iongchun
139,19,O,Jonathan "Geenz" Goodman
140,6,O,Michael Hendricks
141,9,O,Alex B
142,1,O,Chunnan Ye
143,4,O,Sergio Campamá
144,7,O,Janne Pulkkinen
145,1,O,Charles-Edouard Coste
146,1,O,Lars Rasmusson
147,3,O,
148,12,O,Douglas Huff
149,1,O,
150,2,O,Antonio Cervone
151,15,O,Mike Hearn
152,1,O,Alistair Buxton
153,50,O,R E Broadley
154,3,O,Pierre Pronchery
155,1,O,jondoh
156,1,O,Thomas Grainger
157,4,O,cardpuncher
158,2,O,Dwayne Litzenberger
159,9,O,
160,1,O,Steven Hudson
161,14,O,Christian von Roques
162,1,O,Birger Hedman
163,26,O,xanatos
164,6,O,Rune K. Svendsen
165,1,O,Stéphane Glondu
166,4,O,Badhrinath Sampathkumar
167,1,O,osmosis
168,1,O,Carlos Alberto Lopez Perez
169,2,O,Eric
170,1,O,Chris Pilkington
171,4,O,tucenaber
172,2,O,David Parrish
173,2,O,Alexander Artemenko
174,2,O,Znort 987
175,8,O,Alexander Kjeldaas
176,12,O,Robert Backhaus
177,4,O,Colin Dean
178,1,O,Andrie de Vries
179,2,O,Simon
180,7,O,Nick Currier
181,33,O,Mike Gogulski
182,1,O,Morgan Roderick
183,230,O,Ivan De Marino
184,2,O,Dmitry Parshin
185,1,O,Richard Harris
186,42,O,Vitaliy Slobodin
187,6,O,Bryan Bishop
188,4,O,Alex Alvarez
189,1,O,Jan Minar
190,1,O,Michael Cassano
191,3,O,eric heydenberk
192,2,O,Andrew Galloni
193,2,O,Robin Helgelin
194,79,O,execjosh
195,6,O,Pavel
196,2,O,DjinnS
197,7,O,Forrest Voight
198,7,O,Jonathan Wilkins
199,2,O,Tom Aizenberg
200,82,O,Eric Lombrozo
201,1,O,Laurent Jouanneau
202,2,O,Max Desyatov
203,1,O,Andrew Poelstra
204,1,O,Alexander James Phillips
205,3,O,Dody Suria Wijaya
206,1,O,Capi Etheriel
207,13,O,Juliusz Gonera
208,6,O,Julian Szulc
209,12,O,James M. Greene
210,1,O,Jeff Boulter
211,3,O,Matthew Barr
212,1,O,Hirohisa Mitsuishi
213,3,O,Oleg Pudeyev
214,1,O,Ken Collins
215,7,O,Sebastian Krzyszkowiak
216,3,O,David Burrows
217,2,O,fastclemmy
218,58,O,Jon Leighton
219,1,O,Jan Schaumann
220,64,O,Milian Wolff
221,11,O,Jim Evans
222,2,O,Johan Sköld
223,1,O,tomboy-64
224,4,O,Ian Oxley
225,3,O,Shawn Krisman
226,22,O,Zhaolong Lee
227,1,O,Ryan Cumming
228,7,O,Jakub
229,3,O,mb300sd
230,21,O,neraliu
231,2,O,Ilya Grigorik
232,13,O,Alessandro Portale
233,5,O,Nicolas Perriault
234,1,O,Tom Stuart & Jon Leighton
235,3,O,Marco Ferragina
236,1,O,Anthony O.
237,37,O,david
238,1,O,Eivind Uggedal
239,1,O,Boris Nagaev
240,1,O,b.long
241,2,O,Brikou CARRE
242,13,O,Brandon Dahler
243,1,O,Stephen Young
244,1,O,Brian Donovan
245,1,O,Chris Smith
246,2,O,Baffo32
247,46,O,Leo Franchi
248,2,O,Maurice Svay
249,1,O,David Serrano
250,2,O,Antono Vasiljev
