source,target,count,type
721,45,2,O
721,635,1,O
721,761,1,M
729,1,13,O
729,3,9,O
729,31,3,O
729,38,6,O
729,39,7,O
729,40,8,O
729,41,29,O
729,44,18,O
729,45,49,O
729,46,4,O
729,47,7,O
729,49,36,O
729,50,2,O
729,51,1,O
729,52,3,O
729,58,1,O
729,61,4,O
729,63,8,O
729,125,1,O
729,133,9,O
729,134,6,O
729,137,1,O
729,143,5,O
729,144,1,O
729,148,1,O
729,150,25,O
729,153,7,O
729,157,2,O
729,158,1,O
729,160,27,O
729,161,1,O
729,163,1,O
729,164,6,O
729,166,1,O
729,170,4,O
729,171,4,O
729,176,6,O
729,178,1,O
729,179,9,O
729,180,10,O
729,181,2,O
729,182,2,O
729,184,13,O
729,186,1,O
729,190,9,O
729,195,2,O
729,199,1,O
729,200,1,O
729,201,2,O
729,202,26,O
729,203,2,O
729,207,10,O
729,211,1,O
729,217,1,O
729,220,1,O
729,228,2,O
729,232,19,O
729,233,16,O
729,235,1,O
729,236,1,O
729,237,1,O
729,238,2,O
729,239,1,O
729,240,5,O
729,241,1,O
729,242,1,O
729,243,1,O
729,244,1,O
729,246,2,O
729,247,1,O
729,248,2,O
729,250,6,O
729,252,1,O
729,254,1,O
729,265,1,O
729,276,2,O
729,278,1,O
729,291,1,O
729,292,4,O
729,300,12,O
729,348,1,O
729,362,3,O
729,363,1,O
729,366,1,O
729,367,3,O
729,368,7,O
729,369,3,O
729,370,1,O
729,372,2,O
729,374,34,O
729,376,2,O
729,379,1,O
729,382,3,O
729,383,4,O
729,386,1,O
729,389,1,O
729,390,1,O
729,391,2,O
729,394,1,O
729,401,1,O
729,402,1,O
729,407,3,O
729,408,1,O
729,409,1,O
729,410,1,O
729,416,1,O
729,423,1,O
729,424,1,O
729,740,1,M
738,38,1,O
738,40,12,O
738,41,13,O
738,45,2,O
738,46,16,O
738,49,7,O
738,60,1,O
738,62,1,O
738,91,1,O
738,93,6,O
738,95,1,O
738,97,6,O
738,98,3,O
738,100,2,O
738,117,1,O
738,120,1,O
738,121,1,O
738,122,1,O
738,277,1,O
738,281,4,O
738,283,1,O
738,287,2,O
738,426,2,O
738,432,213,O
738,435,1,O
738,438,2,O
738,441,2,O
738,444,1,O
738,450,22,O
738,452,2,O
738,453,1,O
738,465,2,O
738,466,1,O
738,470,1,O
738,488,2,O
738,519,2,O
738,532,2,O
738,540,1,O
738,546,1,O
738,551,1,O
738,557,1,O
738,558,2,O
738,561,4,O
738,562,1,O
738,565,1,O
738,569,2,O
738,573,3,O
738,575,4,O
738,576,6,O
738,582,1,O
738,584,3,O
738,587,5,O
738,594,1,O
738,596,1,O
738,597,2,O
738,608,1,O
738,611,4,O
738,620,2,O
738,637,2,O
738,639,2,O
738,640,1,O
738,644,1,O
738,649,1,O
738,650,6,O
738,657,3,O
738,672,1,O
738,682,1,O
738,683,5,O
738,698,3,O
738,701,2,O
738,705,1,O
738,706,1,O
738,707,5,O
738,708,6,O
738,709,1,O
738,710,1,O
738,729,1,M
738,740,2,M
738,749,1,M
738,775,1,M
738,778,1,M
738,788,1,M
738,807,1,M
738,814,1,M
740,1,26,O
740,2,2,O
740,3,11,O
740,4,19,O
740,5,2,O
740,6,2,O
740,7,2,O
740,8,2,O
740,9,1,O
740,10,62,O
740,11,1,O
740,12,2,O
740,13,2,O
740,14,2,O
740,15,10,O
740,16,2,O
740,17,3,O
740,19,1,O
740,20,1,O
740,21,1,O
740,23,1,O
740,24,5,O
740,25,1,O
740,26,2,O
740,27,7,O
740,28,5,O
740,29,1,O
740,30,5,O
740,31,263,O
740,32,1,O
740,33,36,O
740,34,2,O
740,35,14,O
740,36,4,O
740,37,1,O
740,38,19,O
740,39,10,O
740,40,90,O
740,41,77,O
740,42,6,O
740,43,1,O
740,44,68,O
740,45,79,O
740,46,48,O
740,47,36,O
740,48,6,O
740,49,132,O
740,50,1,O
740,53,1,O
740,54,4,O
740,55,4,O
740,56,5,O
740,57,10,O
740,58,1,O
740,59,5,O
740,60,4,O
740,61,2,O
740,62,1,O
740,63,17,O
740,64,12,O
740,65,3,O
740,66,2,O
740,67,9,O
740,68,6,O
740,69,17,O
740,70,5,O
740,71,1,O
740,72,5,O
740,73,4,O
740,74,12,O
740,76,1,O
740,77,1,O
740,78,1,O
740,80,3,O
740,81,12,O
740,82,1,O
740,83,2,O
740,86,1,O
740,88,1,O
740,89,4,O
740,90,7,O
740,92,2,O
740,99,1,O
740,102,2,O
740,104,1,O
740,106,1,O
740,107,1,O
740,110,1,O
740,111,6,O
740,112,5,O
740,113,10,O
740,115,19,O
740,116,3,O
740,118,1,O
740,119,4,O
740,120,2,O
740,121,1,O
740,122,1,O
740,123,1,O
740,124,2,O
740,125,5,O
740,126,42,O
740,130,1,O
740,132,1,O
740,134,9,O
740,135,2,O
740,136,4,O
740,139,1,O
740,141,2,O
740,143,4,O
740,144,1,O
740,145,1,O
740,146,1,O
740,147,7,O
740,148,21,O
740,149,1,O
740,150,47,O
740,151,2,O
740,152,1,O
740,153,15,O
740,154,5,O
740,155,4,O
740,157,1,O
740,158,1,O
740,159,1,O
740,160,14,O
740,162,4,O
740,164,73,O
740,170,1,O
740,175,2,O
740,180,3,O
740,181,1,O
740,193,1,O
740,198,12,O
740,207,6,O
740,211,1,O
740,219,1,O
740,224,1,O
740,225,3,O
740,227,2,O
740,228,1,O
740,230,1,O
740,232,17,O
740,238,1,O
740,239,3,O
740,245,1,O
740,251,2,O
740,255,1,O
740,257,1,O
740,260,1,O
740,262,2,O
740,263,2,O
740,264,1,O
740,266,13,O
740,267,2,O
740,268,2,O
740,269,2,O
740,270,1,O
740,273,2,O
740,274,1,O
740,275,1,O
740,276,3,O
740,280,1,O
740,283,9,O
740,285,5,O
740,286,3,O
740,288,1,O
740,289,4,O
740,290,4,O
740,291,1,O
740,293,1,O
740,294,6,O
740,295,5,O
740,296,2,O
740,297,1,O
740,298,1,O
740,299,6,O
740,300,24,O
740,301,16,O
740,302,4,O
740,303,1,O
740,304,7,O
740,305,1,O
740,307,3,O
740,308,5,O
740,310,6,O
740,311,5,O
740,314,1,O
740,317,5,O
740,318,1,O
740,319,1,O
740,320,1,O
740,321,1,O
740,322,1,O
740,323,2,O
740,324,2,O
740,325,1,O
740,326,2,O
740,327,1,O
740,328,159,O
740,329,1,O
740,330,1,O
740,332,1,O
740,333,1,O
740,334,6,O
740,335,89,O
740,336,2,O
740,337,1,O
740,338,1,O
740,341,4,O
740,342,4,O
740,343,1,O
740,344,5,O
740,345,3,O
740,347,1,O
740,350,5,O
740,351,26,O
740,352,1,O
740,353,2,O
740,354,37,O
740,355,27,O
740,356,1,O
740,357,1,O
740,358,9,O
740,359,12,O
740,368,1,O
740,369,14,O
740,372,3,O
740,373,1,O
740,374,18,O
740,377,1,O
740,378,2,O
740,383,2,O
740,384,1,O
740,385,1,O
740,392,1,O
740,400,1,M
740,403,1,O
740,412,1,O
740,414,8,O
740,417,4,O
740,420,5,O
740,422,1,O
740,424,2,O
740,425,1,O
740,426,2,O
740,439,1,O
740,489,2,O
740,490,1,O
740,501,1,O
740,503,3,O
740,505,14,O
740,515,5,O
740,519,3,O
740,525,1,O
740,536,1,O
740,537,1,O
740,545,1,O
740,554,3,O
740,557,1,O
740,559,1,O
740,567,2,O
740,568,1,O
740,572,1,O
740,577,1,O
740,578,1,O
740,591,3,O
740,594,2,O
740,598,1,O
740,602,7,O
740,610,6,O
740,613,2,O
740,618,1,O
740,621,1,O
740,623,1,O
740,641,12,O
740,643,1,O
740,644,10,O
740,645,1,O
740,646,1,O
740,651,1,O
740,652,1,O
740,654,1,O
740,657,4,O
740,670,1,O
740,704,1,O
740,729,2,M
740,730,1,M
740,738,1,M
740,746,1,M
740,748,1,M
740,755,1,M
740,765,3,M
740,767,9,M
740,768,1,M
740,769,3,M
740,774,1,M
740,775,2,M
740,777,2,M
740,782,11,M
740,785,5,M
740,788,2,M
740,793,1,M
740,797,1,M
740,809,1,M
747,724,3,M
755,39,1,O
756,3,14,O
756,10,56,O
756,38,6,O
756,39,4,O
756,40,47,O
756,41,267,O
756,44,47,O
756,45,63,O
756,46,93,O
756,47,3,O
756,49,34,O
756,50,8,O
756,55,3,O
756,60,2,O
756,61,1,O
756,62,6,O
756,63,13,O
756,67,4,O
756,74,2,O
756,75,4,O
756,79,3,O
756,84,1,O
756,85,2,O
756,93,1,O
756,94,1,O
756,96,3,O
756,105,1,O
756,109,3,O
756,112,2,O
756,114,1,O
756,117,4,O
756,120,3,O
756,121,1,O
756,122,1,O
756,125,2,O
756,126,2,O
756,127,1,O
756,132,3,O
756,134,4,O
756,135,4,O
756,138,1,O
756,150,53,O
756,153,11,O
756,160,6,O
756,161,4,O
756,162,1,O
756,163,6,O
756,164,1,O
756,165,2,O
756,168,1,O
756,169,13,O
756,171,4,O
756,172,1,O
756,174,1,O
756,175,1,O
756,176,1,O
756,177,3,O
756,179,39,O
756,180,25,O
756,181,6,O
756,183,3,O
756,184,6,O
756,185,1,O
756,186,6,O
756,187,1,O
756,188,6,O
756,189,2,O
756,190,2,O
756,191,2,O
756,192,1,O
756,193,2,O
756,194,1,O
756,195,28,O
756,196,1,O
756,197,2,O
756,198,1,O
756,204,1,O
756,205,2,O
756,206,1,O
756,208,1,O
756,209,7,O
756,210,1,O
756,211,6,O
756,212,1,O
756,213,1,O
756,214,3,O
756,215,1,O
756,216,2,O
756,217,1,O
756,218,1,O
756,221,3,O
756,222,9,O
756,223,1,O
756,249,1,O
756,258,1,O
756,259,1,O
756,261,2,O
756,271,1,O
756,279,1,O
756,281,4,O
756,282,1,O
756,284,1,O
756,300,26,O
756,301,1,O
756,309,5,O
756,313,2,O
756,331,6,O
756,340,1,O
756,349,1,O
756,360,1,O
756,361,1,O
756,362,1,O
756,364,1,O
756,365,1,O
756,366,1,O
756,367,8,O
756,368,12,O
756,369,1,O
756,372,5,O
756,374,2,O
756,392,2,O
756,395,3,O
756,396,1,O
756,397,1,O
756,404,1,O
756,405,1,O
756,406,1,O
756,407,1,O
756,409,1,O
756,426,2,O
756,427,3,O
756,428,6,O
756,429,3,O
756,430,70,O
756,431,2,O
756,432,5,O
756,433,1,O
756,435,11,O
756,436,19,O
756,438,4,O
756,440,3,O
756,441,13,O
756,442,1,O
756,443,13,O
756,444,3,O
756,445,2,O
756,446,1,O
756,447,1,O
756,448,1,O
756,449,1,O
756,450,1,O
756,451,1,O
756,452,2,O
756,453,6,O
756,454,1,O
756,455,3,O
756,456,7,O
756,457,6,O
756,458,1,O
756,459,1,O
756,460,1,O
756,461,1,O
756,462,1,O
756,463,3,O
756,464,1,O
756,465,2,O
756,466,5,O
756,467,1,O
756,468,1,O
756,469,1,O
756,470,1,O
756,471,19,O
756,472,1,O
756,473,1,O
756,474,2,O
756,475,1,O
756,476,2,O
756,477,1,O
756,478,1,O
756,479,1,O
756,480,2,O
756,481,1,O
756,482,12,O
756,483,1,O
756,484,1,O
756,485,1,O
756,486,1,O
756,487,1,O
756,489,2,O
756,491,14,O
756,493,10,O
756,494,14,O
756,495,1,O
756,497,2,O
756,498,6,O
756,499,2,O
756,503,6,O
756,504,1,O
756,506,1,O
756,515,7,O
756,517,1,O
756,518,1,O
756,519,3,O
756,523,7,O
756,526,1,O
756,527,7,O
756,528,2,O
756,529,1,O
756,530,15,O
756,531,1,O
756,533,2,O
756,534,42,O
756,535,11,O
756,538,2,O
756,539,3,O
756,541,2,O
756,542,2,O
756,543,2,O
756,544,7,O
756,545,1,O
756,548,46,O
756,549,1,O
756,550,1,O
756,552,1,O
756,553,10,O
756,554,1,O
756,555,4,O
756,557,2,O
756,561,2,O
756,563,1,O
756,564,1,O
756,566,2,O
756,570,2,O
756,574,1,O
756,579,7,O
756,580,1,O
756,581,2,O
756,583,1,O
756,584,1,O
756,585,1,O
756,586,1,O
756,588,2,O
756,592,2,O
756,594,7,O
756,596,1,O
756,599,6,O
756,600,1,O
756,601,1,O
756,604,1,O
756,605,1,O
756,606,3,O
756,607,1,O
756,609,1,O
756,610,2,O
756,612,1,O
756,614,2,O
756,618,1,O
756,619,1,O
756,622,1,O
756,624,18,O
756,625,12,O
756,626,42,O
756,627,5,O
756,628,27,O
756,629,7,O
756,630,12,O
756,631,8,O
756,632,8,O
756,633,32,O
756,634,1,O
756,636,1,O
756,638,1,O
756,642,2,O
756,644,2,O
756,646,1,O
756,647,2,O
756,648,4,O
756,655,1,O
756,657,3,O
756,658,2,O
756,659,1,O
756,660,1,O
756,661,1,O
756,662,4,O
756,663,1,O
756,664,2,O
756,665,8,O
756,667,1,O
756,668,5,O
756,669,5,O
756,671,3,O
756,673,2,O
756,674,3,O
756,675,1,O
756,676,1,O
756,677,3,O
756,678,2,O
756,679,1,O
756,680,1,O
756,681,7,O
756,684,1,O
756,685,1,O
756,686,1,O
756,687,1,O
756,688,2,O
756,689,7,O
756,692,1,O
756,693,1,O
756,697,1,O
756,699,3,O
756,700,1,O
756,702,2,O
756,729,1,M
756,738,12,M
756,740,8,M
756,747,1,M
756,767,2,M
756,774,2,M
756,777,2,M
756,782,10,M
756,786,1,M
756,787,1,M
756,788,1,M
756,791,1,M
756,803,1,M
756,822,1,M
761,738,1,M
765,524,1,M
765,782,1,M
768,18,5,O
768,38,1,O
768,40,12,O
768,41,2,O
768,45,12,O
768,46,9,O
768,49,5,O
768,61,1,O
768,130,1,O
768,132,1,O
768,150,50,O
768,225,2,O
768,226,2,O
768,231,1,O
768,234,1,O
768,256,1,M
768,272,2,O
768,300,1,O
768,301,3,O
768,304,2,O
768,316,2,M
768,368,2,O
768,370,3,O
768,374,18,O
768,375,1,O
768,381,1,O
768,382,2,O
768,407,3,O
768,413,1,O
768,426,2,O
768,508,2,O
768,513,2,O
768,520,17,O
768,593,1,O
768,603,1,O
768,653,17,O
768,717,1,M
768,727,1,M
768,731,9,M
768,740,4,M
768,756,5,M
768,761,1,M
768,778,3,M
768,782,1,M
768,785,12,M
768,805,2,M
769,1,12,O
769,31,21,O
769,39,1,O
769,40,7,O
769,41,8,O
769,44,3,O
769,45,14,O
769,46,14,O
769,49,30,O
769,60,2,O
769,62,1,O
769,74,2,O
769,85,1,O
769,94,1,O
769,100,2,O
769,101,2,O
769,103,1,O
769,108,1,O
769,122,6,O
769,126,1,O
769,127,2,O
769,131,2,O
769,132,1,O
769,140,4,O
769,142,5,O
769,150,1,O
769,229,1,O
769,242,1,O
769,253,1,O
769,283,1,O
769,300,6,O
769,339,3,O
769,368,17,O
769,374,5,O
769,387,1,O
769,388,1,O
769,393,2,O
769,398,1,O
769,399,2,O
769,415,1,O
769,417,2,O
769,418,1,O
769,419,2,O
769,421,5,O
769,426,6,O
769,434,1,O
769,444,2,O
769,489,5,O
769,495,1,O
769,507,1,O
769,508,6,O
769,509,1,O
769,511,1,O
769,512,1,O
769,529,1,O
769,541,1,O
769,556,2,O
769,558,5,O
769,560,1,O
769,571,1,O
769,580,1,O
769,584,2,O
769,587,1,O
769,588,1,O
769,589,1,O
769,590,1,O
769,594,2,O
769,595,1,O
769,606,1,O
769,610,2,O
769,637,1,O
769,645,1,O
769,666,1,O
769,672,1,O
769,690,1,O
769,691,1,O
769,694,2,O
769,701,1,O
769,738,1,M
769,782,24,M
769,819,1,M
774,819,2,M
775,44,1,O
775,49,1,O
775,153,2,O
775,156,1,O
775,161,1,O
775,346,1,O
775,372,1,O
775,782,2,M
777,740,2,M
782,45,1,O
783,31,3,O
783,44,1,O
783,132,1,O
783,160,1,O
783,167,3,O
783,173,3,O
783,195,3,O
783,255,1,O
783,755,1,M
784,30,2,O
784,33,1,O
784,87,1,O
785,49,1,O
785,56,1,O
785,160,1,O
785,230,1,O
785,249,1,O
785,284,1,O
785,370,2,O
785,371,1,O
785,380,6,O
785,411,2,O
785,756,1,M
785,794,2,M
787,45,2,O
788,22,1,O
798,756,1,M
800,286,1,O
811,40,2,O
811,41,18,O
811,44,6,O
811,45,11,O
811,46,4,O
811,49,8,O
811,63,1,O
811,74,1,O
811,116,2,O
811,128,1,O
811,129,1,O
811,130,1,O
811,132,1,O
811,226,2,O
811,300,7,O
811,315,4,O
811,340,1,O
811,426,2,O
811,434,3,O
811,437,1,O
811,453,1,O
811,489,1,O
811,491,20,O
811,492,1,O
811,493,11,O
811,495,2,O
811,496,1,O
811,497,2,O
811,498,19,O
811,499,2,O
811,500,1,O
811,502,1,O
811,508,1,O
811,510,3,O
811,514,1,O
811,516,3,O
811,517,1,O
811,518,1,O
811,521,3,O
811,522,2,O
811,530,2,O
811,534,5,O
811,547,9,O
811,548,2,O
811,554,2,O
811,582,1,O
811,587,1,O
811,596,10,O
811,610,1,O
811,615,4,O
811,616,21,O
811,617,1,O
811,618,2,O
811,627,3,O
811,628,10,O
811,630,2,O
811,632,1,O
811,644,2,O
811,656,1,O
811,695,1,O
811,696,1,O
811,703,2,O
811,723,1,M
811,740,1,M
811,799,1,M
