id,count,type,name
0,0,M ,xx 
1,51,O,hadley wickham
2,2,O,Yihui Xie
3,34,O,Ariya Hidayat
4,19,O,XoD
5,2,O,Mathieu Bruyen
6,2,O,Joakim Lundborg
7,2,O,Matteo Redaelli
8,2,O,John McDonnell
9,1,O,Diego Valle-Jones
10,118,O,Ramnath Vaidyanathan
11,1,O,Check your git settings!
12,2,O,Josh Bode
13,2,O,Noah Lorang
14,2,O,Heewon Jeon
15,10,O,Daniel Sloof
16,2,O,Christian Kamm
17,3,O,Nathan Smith
18,5,O,Anton Korobeynikov
19,1,O,Andrew Tulloch
20,1,O,James Sharpe
21,1,O,Christopher C. Aycock
22,1,O,Chip Turner
23,1,O,hawake
24,5,O,Christopher Gandrud
25,1,O,Imanuel Costigan
26,2,O,jcborras
27,7,O,dclavijo
28,5,O,Kirill Müller
29,1,O,Andre d
30,7,O,Jeff Allen
31,290,O,Winston Chang
32,1,O,crtahlin
33,37,O,Joe Cheng
34,2,O,Edwin de Jonge
35,14,O,JJ Allaire
36,4,O,Jeffrey Arnold
37,1,O,Kornelius Rohmeyer
38,33,O,Gregory Maxwell
39,23,O,Peter Todd
40,178,O,Luke-Jr
41,414,O,Wladimir J. van der Laan
42,6,O,Cory Fields
43,1,O,Martin Studer
44,144,O,Gavin Andresen
45,235,O,Philip Kaufmann
46,188,O,Matt Corallo
47,46,O,Jeff Garzik
48,6,O,Cory Fields
49,254,O,Pieter Wuille
50,11,O,Jonas Schnelli
51,1,O,Timothy Stranex
52,3,O,David Coallier
53,1,O,fcicq
54,4,O,phelixbtc
55,7,O,Vinnie Falco
56,6,O,Micha
57,10,O,Shawn Wilkinson
58,2,O,Roman Mindalev
59,5,O,Cozz Lovan
60,9,O,Han Lin Yap
61,8,O,Mark Friedenbach
62,9,O,Nils Schneider
63,39,O,Michael Ford
64,12,O,Yoni Ben-Meshulam
65,3,O,Warren Togami
66,2,O,Brenton Kenkel
67,13,O,Jean-Olivier Irisson
68,6,O,Phil Chalmers
69,17,O,kohske takahashi
70,5,O,Michael
71,1,O,William Doane
72,5,O,Brian Diggs
73,4,O,gmbecker
74,17,O,Chris Moore
75,4,O,Dev Random
76,1,O,Andrie
77,1,O,Hal
78,1,O,Jeremy T. Hetzel
79,3,O,phantomcircuit
80,3,O,Jeremy Stephens
81,12,O,Andrew Redd
82,1,O,Benjamin Petersen
